subj_id,task_cond,task1_cond,recall,comprehension_score
sub-008,carver_continuous,continuous,0.1375,
sub-009,carver_continuous,continuous,0.1958333333333333,
sub-010,carver_continuous,continuous,0.3208333333333333,
sub-011,carver_continuous,continuous,0.1666666666666666,
sub-014,carver_continuous,continuous,0.125,
sub-015,carver_continuous,continuous,0.15,
sub-020,carver_continuous,continuous,0.2875,
sub-021,carver_continuous,continuous,0.0958333333333333,
sub-022,carver_continuous,continuous,0.3041666666666666,
sub-023,carver_scram_pause,scram_pause,0.0583333333333333,
sub-024,carver_scram_pause,scram_pause,0.2083333333333333,
sub-025,carver_scram_pause,scram_pause,0.1583333333333333,
sub-026,carver_intact_tom,intact_tom,0.225,
sub-027,carver_intact_pause,intact_pause,0.2,
sub-031,carver_scram_pause,scram_pause,0.1291666666666666,2.0
sub-032,carver_intact_tom,intact_tom,0.3458333333333333,5.666666666666667
sub-034,carver_intact_tom,intact_tom,0.3666666666666666,4.0
sub-036,carver_intact_tom,intact_tom,0.2541666666666666,6.666666666666667
sub-037,carver_intact_pause,intact_pause,0.2708333333333333,6.666666666666667
sub-038,carver_intact_tom,intact_tom,0.0916666666666666,5.0
sub-039,carver_intact_pause,intact_pause,0.2666666666666666,5.333333333333333
sub-041,carver_scram_pause,scram_pause,0.1666666666666666,2.3333333333333335
sub-042,carver_scram_pause,scram_pause,0.2041666666666666,2.6666666666666665
sub-043,carver_scram_pause,scram_pause,0.2875,3.6666666666666665
sub-045,carver_intact_pause,intact_pause,0.3125,3.3333333333333335
sub-046,carver_intact_pause,intact_pause,0.1166666666666666,5.666666666666667
sub-047,carver_scram_pause,scram_pause,0.0583333333333333,2.6666666666666665
sub-048,carver_intact_tom,intact_tom,0.1208333333333333,2.3333333333333335
sub-049,carver_intact_tom,intact_tom,0.1916666666666666,6.0
sub-050,carver_scram_pause,scram_pause,0.1083333333333333,3.6666666666666665
sub-051,carver_scram_pause,scram_pause,0.1,5.666666666666667
sub-052,carver_scram_pause,scram_pause,0.1333333333333333,1.6666666666666667
sub-053,carver_scram_pause,scram_pause,0.1958333333333333,2.0
sub-055,carver_intact_pause,intact_pause,0.2416666666666666,3.0
sub-057,carver_intact_tom,intact_tom,0.1458333333333333,4.0
sub-058,carver_intact_tom,intact_tom,0.1291666666666666,5.333333333333333
sub-059,carver_intact_tom,intact_tom,0.1791666666666666,4.666666666666667
sub-060,carver_intact_tom,intact_tom,0.0583333333333333,3.6666666666666665
sub-061,carver_intact_tom,intact_tom,0.1541666666666666,4.666666666666667
sub-062,carver_intact_tom,intact_tom,,3.0
sub-063,carver_intact_pause,intact_pause,0.4875,7.0
sub-065,carver_intact_pause,intact_pause,0.2541666666666666,4.0
sub-067,carver_scram_pause,scram_pause,0.1125,3.0
sub-068,carver_scram_pause,scram_pause,0.1125,3.0
sub-069,carver_intact_pause,intact_pause,0.2375,6.0
sub-070,carver_intact_pause,intact_pause,0.3208333333333333,4.0
sub-071,carver_continuous,continuous,0.2625,5.666666666666667
sub-072,carver_intact_pause,intact_pause,0.1666666666666666,4.0
sub-073,carver_intact_pause,intact_pause,0.1666666666666666,4.666666666666667
sub-075,carver_intact_tom,intact_tom,0.2,6.0
sub-077,carver_continuous,continuous,0.15,4.666666666666667
sub-078,carver_continuous,continuous,0.2,4.666666666666667
sub-079,carver_continuous,continuous,0.3375,4.333333333333333
sub-082,carver_scram_pause,scram_pause,0.125,2.6666666666666665
sub-083,carver_continuous,continuous,0.2291666666666666,6.333333333333333
sub-084,carver_continuous,continuous,0.325,6.0
sub-085,carver_continuous,continuous,0.3458333333333333,4.333333333333333
sub-086,carver_intact_pause,intact_pause,0.1166666666666666,4.666666666666667
sub-088,carver_intact_pause,intact_pause,0.3541666666666667,1.6666666666666667
sub-089,carver_intact_pause,intact_pause,0.2666666666666666,5.666666666666667
sub-090,carver_intact_pause,intact_pause,0.2375,3.6666666666666665
sub-091,carver_intact_tom,intact_tom,0.2166666666666666,2.6666666666666665
sub-092,carver_intact_tom,intact_tom,0.1958333333333333,4.333333333333333
sub-093,carver_intact_tom,intact_tom,0.2333333333333333,4.666666666666667
sub-095,carver_intact_tom,intact_tom,0.1708333333333333,2.6666666666666665
sub-096,carver_scram_pause,scram_pause,,3.6666666666666665
sub-097,carver_scram_pause,scram_pause,0.1208333333333333,1.0
sub-098,carver_scram_pause,scram_pause,0.1583333333333333,5.0
sub-099,carver_intact_pause,intact_pause,0.2458333333333333,5.666666666666667
sub-100,carver_intact_pause,intact_pause,0.3791666666666666,4.666666666666667
sub-101,carver_intact_tom,intact_tom,0.375,3.0
sub-102,carver_scram_pause,scram_pause,0.1416666666666666,2.0
sub-103,carver_intact_pause,intact_pause,0.1625,4.666666666666667
