task,presentation_order,item,key,subject,correct
carver,1,1,Y,sub-026,0
carver,1,1,Y,sub-032,1
carver,1,1,Y,sub-034,1
carver,1,1,Y,sub-036,1
carver,1,1,Y,sub-038,1
carver,1,1,Y,sub-048,1
carver,1,1,Y,sub-049,0
carver,1,1,Y,sub-057,1
carver,1,1,Y,sub-058,1
carver,1,1,Y,sub-059,0
carver,1,1,Y,sub-060,0
carver,1,1,Y,sub-061,1
carver,1,1,Y,sub-062,1
carver,1,1,Y,sub-074,0
carver,1,1,Y,sub-075,1
carver,1,1,Y,sub-091,0
carver,1,1,Y,sub-092,1
carver,1,1,Y,sub-093,1
carver,1,1,Y,sub-094,1
carver,1,1,Y,sub-095,1
carver,1,1,Y,sub-101,1
carver,2,7,N,sub-026,1
carver,2,7,N,sub-032,1
carver,2,7,N,sub-034,0
carver,2,7,N,sub-036,0
carver,2,7,N,sub-038,1
carver,2,7,N,sub-048,1
carver,2,7,N,sub-049,1
carver,2,7,N,sub-057,1
carver,2,7,N,sub-058,1
carver,2,7,N,sub-059,1
carver,2,7,N,sub-060,1
carver,2,7,N,sub-061,0
carver,2,7,N,sub-062,1
carver,2,7,N,sub-074,1
carver,2,7,N,sub-075,1
carver,2,7,N,sub-091,1
carver,2,7,N,sub-092,1
carver,2,7,N,sub-093,0
carver,2,7,N,sub-094,1
carver,2,7,N,sub-095,1
carver,2,7,N,sub-101,1
carver,3,16,N,sub-026,1
carver,3,16,N,sub-032,1
carver,3,16,N,sub-034,1
carver,3,16,N,sub-036,1
carver,3,16,N,sub-038,1
carver,3,16,N,sub-048,1
carver,3,16,N,sub-049,1
carver,3,16,N,sub-057,0
carver,3,16,N,sub-058,1
carver,3,16,N,sub-059,1
carver,3,16,N,sub-060,1
carver,3,16,N,sub-061,1
carver,3,16,N,sub-062,1
carver,3,16,N,sub-074,1
carver,3,16,N,sub-075,1
carver,3,16,N,sub-091,1
carver,3,16,N,sub-092,1
carver,3,16,N,sub-093,1
carver,3,16,N,sub-094,1
carver,3,16,N,sub-095,1
carver,3,16,N,sub-101,1
carver,4,17,Y,sub-026,0
carver,4,17,Y,sub-032,1
carver,4,17,Y,sub-034,1
carver,4,17,Y,sub-036,1
carver,4,17,Y,sub-038,1
carver,4,17,Y,sub-048,1
carver,4,17,Y,sub-049,1
carver,4,17,Y,sub-057,1
carver,4,17,Y,sub-058,1
carver,4,17,Y,sub-059,1
carver,4,17,Y,sub-060,1
carver,4,17,Y,sub-061,1
carver,4,17,Y,sub-062,1
carver,4,17,Y,sub-074,1
carver,4,17,Y,sub-075,1
carver,4,17,Y,sub-091,1
carver,4,17,Y,sub-092,1
carver,4,17,Y,sub-093,1
carver,4,17,Y,sub-094,0
