network,n_parcels,n_sig_FDR,pct_sig_FDR,mean_t_FDR_sig
VisCent,24,21,87.5,3.785369632022306
VisPeri,23,20,86.95652173913044,4.033433414626437
SomMotA,39,24,61.53846153846154,2.8803743796225
SomMotB,31,17,54.83870967741935,-5.27025293129757
DorsAttnA,27,22,81.48148148148148,4.235194664942198
DorsAttnB,25,15,60.0,3.3681371859677474
SalVentAttnA,34,26,76.47058823529412,5.118168031025055
SalVentAttnB,17,17,100.0,8.059432246161021
LimbicA,13,1,7.6923076923076925,2.915945353263039
LimbicB,11,4,36.36363636363637,4.283301089982237
ContA,24,23,95.83333333333331,5.381495182668783
ContB,25,23,92.0,5.856952647304129
ContC,12,12,100.0,7.025201719795411
DefaultA,34,20,58.8235294117647,5.462320885323345
DefaultB,32,17,53.125,2.0913607008361303
DefaultC,13,4,30.76923076923077,3.0631350314703742
TempPar,16,11,68.75,-4.99315794825119
