parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.1780726232979764,4.006783331729283,0.0008272370211596,0.0021348052158959,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.1724203691545879,3.705636108243579,0.0016182181282118,0.0037415448051141,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.0784655376745031,2.3852944839673538,0.0282664738910438,0.0417217326805075,True
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.1167795205339988,2.774734808447672,0.0124944943661604,0.0206520568035709,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.0672839793415186,2.253707648903996,0.0369191310781992,0.0519987761664778,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.1127678737601969,3.8290104535913905,0.0012292912652519,0.0029982713786632,True
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.0836156677805394,2.93168772971832,0.0089132796247526,0.0158461304913691,True
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.1429335370272457,4.106673310139221,0.0006623147269383,0.0017900398025361,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.0987945096989798,3.365864981212693,0.0034420021820587,0.0069888369178858,True
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.1241156308071539,4.143778701624274,0.0006098516263386,0.0016708263735306,True
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.1305011686138284,3.3481428981426316,0.0035795960462897,0.0072315071642217,True
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.1654642847729726,4.068116378307916,0.0007216480463062,0.0018744105098863,True
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.1417260576389342,3.5340418512574145,0.0023705343390732,0.005181495823111,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.1495647478198429,3.1588580903446912,0.0054317600228037,0.0102971753986801,True
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.2205769620651588,4.224399379726562,0.0005098289152966,0.0014161914313795,True
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.1123005594560748,2.2010311225271657,0.0410241980416695,0.0565851007471303,False
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.1195320816790846,2.4645569551722413,0.0240097740158097,0.0362411683257505,True
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.1927899796286347,3.5942675799714108,0.0020734703980432,0.0046334534034485,True
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.1919858461441224,3.5065621170225234,0.0025197425198894,0.005389823571956,True
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.1352795222440008,2.7813202910656805,0.0123197401144861,0.0204477014348317,True
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,Visual,-3.0,-84.2,24.5,0.2047926067555009,4.745678733031875,0.0001614690327786,0.0005871601191952,True
22,17Networks_LH_VisPeri_ExStrSup_3,LH,VisPeri,ExStrSup,Visual,-12.2,-71.0,20.5,0.2134935322293223,4.634016364960832,0.0002062421042148,0.0007051012109909,True
23,17Networks_LH_VisPeri_ExStrSup_4,LH,VisPeri,ExStrSup,Visual,-16.0,-89.0,33.6,0.1886184673500127,4.67525994199207,0.0001883948401749,0.0006610345269298,True
24,17Networks_LH_VisPeri_ExStrSup_5,LH,VisPeri,ExStrSup,Visual,-12.0,-80.8,36.0,0.3245266114046175,8.335264129061507,1.3591095672370533e-07,1.8121460896494045e-06,True
25,17Networks_LH_SomMotA_1,LH,SomMotA,,Somatomotor,-7.9,-15.3,46.9,0.1054557518666087,2.894258011266459,0.0096644820979329,0.0167350339358146,True
26,17Networks_LH_SomMotA_2,LH,SomMotA,,Somatomotor,-41.0,-14.3,48.0,0.1651196501973582,3.5880124354659864,0.0021025193929133,0.004646451697046,True
27,17Networks_LH_SomMotA_3,LH,SomMotA,,Somatomotor,-48.7,-17.4,54.2,0.1138135104871848,2.498001712367007,0.0224008626933069,0.034199790371461,True
