parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.1542326640314542,2.8743221707947395,0.0100891842689606,0.0238797260803801,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.2132959972365199,3.612482373478441,0.0019911314123237,0.0061996735759334,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.1082445592005474,2.0789927285908028,0.0521908086694088,0.0929720261311836,False
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.1267058963037917,2.497453499324372,0.0224263967937404,0.0448527935874809,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.0474496175036573,0.9258833773788816,0.3667546889334868,0.4825535404653662,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.058901733182105,1.0911808156548175,0.2895848194001715,0.3966915334248925,False
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.1192695476460662,2.094058800741012,0.0506765091396551,0.090899567963507,False
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.1317374692814554,2.439989838128438,0.0252601461737373,0.0495296983798771,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.0733003420717726,1.4400053732044678,0.1670325753487948,0.2474556671833997,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.0954243110365785,1.8919310150321356,0.0747003613592743,0.1250215252874884,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.1415307664839109,2.336367388880264,0.0312357823339134,0.0594967282550732,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.1770376849763204,2.8487002984587706,0.0106615161237797,0.0247942235436737,True
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.1903098990868886,3.636693655819627,0.0018866942906459,0.0060374217300669,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.2345191798361653,3.9343878012367823,0.0009720075948145,0.003633673251643,True
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.2680024975004262,3.9098348417340936,0.0010266679119129,0.0037675886675703,True
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.1597125117198074,3.298032943780007,0.0039986307515379,0.0105923993418224,True
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.1967973517200543,3.404474625061555,0.0031600359350336,0.0090286741000961,True
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.2556985161556832,3.6071500164325014,0.0020148939121783,0.0061996735759334,True
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.297526376190965,4.64691303685902,0.0002004839969557,0.0010836972808419,True
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.2389228891798098,4.30029756639716,0.0004308128275849,0.0020037805934183,True
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,Visual,-3.0,-84.2,24.5,0.2931624365097859,4.723629657853522,0.0001694504655004,0.000999454297496,True
22,17Networks_LH_VisPeri_ExStrSup_3,LH,VisPeri,ExStrSup,Visual,-12.2,-71.0,20.5,0.2402043713378647,4.262344906282844,0.0004686470294559,0.0020754447146564,True
23,17Networks_LH_VisPeri_ExStrSup_4,LH,VisPeri,ExStrSup,Visual,-16.0,-89.0,33.6,0.1569408000712845,2.313891495451273,0.0326949231721867,0.0619808970088848,False
24,17Networks_LH_VisPeri_ExStrSup_5,LH,VisPeri,ExStrSup,Visual,-12.0,-80.8,36.0,0.325215928725151,4.883637976156763,0.0001195071360166,0.000783653350929,True
25,17Networks_LH_SomMotA_1,LH,SomMotA,,Somatomotor,-7.9,-15.3,46.9,0.0405790263711681,1.0549213573919252,0.3054160348850162,0.4127243714662381,False
26,17Networks_LH_SomMotA_2,LH,SomMotA,,Somatomotor,-41.0,-14.3,48.0,0.1111602666423747,2.0376940330147315,0.0565542885455212,0.1000960859212765,False
27,17Networks_LH_SomMotA_3,LH,SomMotA,,Somatomotor,-48.7,-17.4,54.2,0.0616763523686684,0.9590352733676828,0.3502468089376849,0.4654442643690165,False
28,17Networks_LH_SomMotA_4,LH,SomMotA,,Somatomotor,-47.3,-29.6,58.2,0.0517052604445403,0.8406043177429637,0.4115973197441481,0.5260029645292628,False
29,17Networks_LH_SomMotA_5,LH,SomMotA,,Somatomotor,-39.2,-24.8,52.9,0.029546953283538,0.5816273107008283,0.5680310197374109,0.6722260588608413,False
30,17Networks_LH_SomMotA_6,LH,SomMotA,,Somatomotor,-8.6,-37.5,53.5,0.163721792503378,3.396218889519005,0.0032183455777751,0.009065762190916,True
31,17Networks_LH_SomMotA_7,LH,SomMotA,,Somatomotor,-4.3,-24.8,56.2,0.0064517192101462,0.152105302819715,0.8807958110835941,0.9222992786215644,False
32,17Networks_LH_SomMotA_8,LH,SomMotA,,Somatomotor,-3.9,-8.6,59.1,0.0916913779233452,1.728317790841201,0.1010467785867315,0.1616748457387704,False
33,17Networks_LH_SomMotA_9,LH,SomMotA,,Somatomotor,-34.5,-18.3,63.6,0.0281306305504313,0.5921434109830176,0.5611196767870211,0.6679996152226442,False
34,17Networks_LH_SomMotA_10,LH,SomMotA,,Somatomotor,-32.1,-28.9,62.2,0.0077154225818171,0.1576688804297892,0.8764729652345825,0.9210998304212712,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,,Somatomotor,-29.8,-38.3,64.8,0.0382226788676166,0.7072154974741668,0.4884883852313755,0.6012164741309238,False
36,17Networks_LH_SomMotA_12,LH,SomMotA,,Somatomotor,-23.5,-10.7,64.9,0.0409414048794892,0.8930965628121483,0.3835907088312207,0.4981626107784253,False
