parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.0889758903629409,1.4528529261269203,0.1634756770892175,0.2690213128053161,False
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.0730676527605526,1.086505747096964,0.2915917224268967,0.4272406189405079,False
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.0775027246877747,1.2690356162610317,0.2205933466711903,0.3342323434411975,False
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.0891367068246075,1.6532926574329443,0.1156056628852504,0.2092410187968333,False
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.0765437162835123,1.5504455928342358,0.1384383974485148,0.2397201687420169,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.1028715800892377,1.996449445701919,0.0612379634271496,0.1269180589163722,False
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.0665056622924985,1.023792607738601,0.3194963924639253,0.4547991351799649,False
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.1261445154464452,2.0648760594123163,0.0536467941211169,0.116047766397792,False
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.0754493034819594,1.2312807496133396,0.2340635831599118,0.3519753130224238,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.1271171755437655,2.2855749237457212,0.0346233031993908,0.0814665957632725,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.1050142136694364,1.526847227092223,0.1441795724743548,0.2464608076484698,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.1441001708624514,2.052897996652579,0.0549109350053774,0.117456545466048,False
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.1379295133732836,2.6224631045145657,0.0172635177317023,0.048974518387808,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.137782467985195,2.5939520474437106,0.0183308979089857,0.0512752389062539,False
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.1477658253642886,2.2714583212549115,0.0356235166263581,0.0828453875031585,False
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.0933840529727668,1.918310971156522,0.0710749008480193,0.1435856582788269,False
