condition,hemi,x,mean,se
intact_pause,Left PMC,-20,-0.024355194273516796,0.039478923507596041
intact_pause,Left PMC,-19,-0.028300359988605923,0.04223651750341282
intact_pause,Left PMC,-18,-0.054888567966243793,0.037363033346247618
intact_pause,Left PMC,-17,-0.048099910731757144,0.042593210380047992
intact_pause,Left PMC,-16,-0.05214314343402654,0.041635841123484035
intact_pause,Left PMC,-15,-0.022247387472941863,0.047248319363985179
intact_pause,Left PMC,-14,-0.024562540293318169,0.042291245302339686
intact_pause,Left PMC,-13,-0.050718899185761272,0.042166229057847539
intact_pause,Left PMC,-12,-0.016342635959487522,0.040023873802993201
intact_pause,Left PMC,-11,0.00087584301621436173,0.040408062052831012
intact_pause,Left PMC,-10,0.016467973823446523,0.048173772708422657
intact_pause,Left PMC,-9,0.067630243848917068,0.047607194125514743
intact_pause,Left PMC,-8,0.061033689978844001,0.035643334161233886
intact_pause,Left PMC,-7,0.080941803143322513,0.037022391553922146
intact_pause,Left PMC,-6,0.038769440076922297,0.029146190909016368
intact_pause,Left PMC,-5,0.049011883391055486,0.029207347706152343
intact_pause,Left PMC,-4,0.033050876762152334,0.022473585456506226
intact_pause,Left PMC,-3,0.012493582609573726,0.036724478962242402
intact_pause,Left PMC,-2,-0.023827470234517544,0.034767047695102596
intact_pause,Left PMC,-1,-0.025599806336513303,0.048100881845898301
intact_pause,Left PMC,0,-0.086278421180164794,0.039022666179974061
intact_pause,Left PMC,1,-0.066355232689510713,0.04402416957092959
intact_pause,Left PMC,2,0.081096198307602702,0.050888280015287043
intact_pause,Left PMC,3,0.17630941702292527,0.044670030242248283
intact_pause,Left PMC,4,0.18465134055791468,0.041958836561281736
intact_pause,Left PMC,5,0.067986198240275589,0.042658363711664801
intact_pause,Left PMC,6,0.0069387211935588019,0.050334409662575144
intact_pause,Left PMC,7,-0.027160377998331108,0.047384126384478989
intact_pause,Left PMC,8,-0.036447332555016886,0.041001341991112002
intact_pause,Left PMC,9,-0.022344724888742857,0.036287681612059162
intact_pause,Left PMC,10,-0.09204970572743805,0.034941826319091665
intact_pause,Left PMC,11,-0.11643695943882271,0.035614534144260378
intact_pause,Left PMC,12,-0.10463454054597968,0.037667087392118957
intact_pause,Left PMC,13,-0.085511606560949777,0.042579226445160975
intact_pause,Left PMC,14,-0.047755618702065725,0.049769435553023669
intact_pause,Left PMC,15,-0.019185304187627192,0.055324177885034735
intact_pause,Left PMC,16,-0.020027643119447745,0.053658204565250625
intact_pause,Left PMC,17,-0.020528781671069526,0.055670168083544143
intact_pause,Left PMC,18,0.04101580098821743,0.055389104545164311
intact_pause,Left PMC,19,0.055202222517480228,0.054134382780029619
intact_pause,Left PMC,20,0.057117654986027146,0.053821574140737322
intact_tom,Left PMC,-20,0.062492190868418208,0.048442277756449416
intact_tom,Left PMC,-19,0.046159574643508568,0.044942926508132149
intact_tom,Left PMC,-18,-0.018374526039206411,0.041574967199386442
intact_tom,Left PMC,-17,-0.066891700504687387,0.033356561001293479
intact_tom,Left PMC,-16,-0.1171137411542728,0.035652931306258927
intact_tom,Left PMC,-15,-0.11637131790924717,0.036704213946973853
intact_tom,Left PMC,-14,-0.14053983208320805,0.0435872236971655
intact_tom,Left PMC,-13,-0.12524930621238731,0.0434865454448198
intact_tom,Left PMC,-12,-0.14939132572443878,0.034571284458235735
intact_tom,Left PMC,-11,-0.11900285792420916,0.028641436282978182
intact_tom,Left PMC,-10,-0.047563665782813271,0.036605479568149697
intact_tom,Left PMC,-9,0.037426674292382577,0.043253237751175927
intact_tom,Left PMC,-8,0.1020429809178716,0.039404218795498033
intact_tom,Left PMC,-7,0.062189522067401228,0.033219242906073455
intact_tom,Left PMC,-6,0.054694614724755994,0.040870758594267503
intact_tom,Left PMC,-5,0.051246139922013163,0.044617050782176836
intact_tom,Left PMC,-4,0.044554710888777611,0.039671158142525281
intact_tom,Left PMC,-3,0.044357103320106415,0.034053602240427569
intact_tom,Left PMC,-2,-0.024973882883703898,0.031201071644706823
intact_tom,Left PMC,-1,-0.085571066751216576,0.038497797947185865
intact_tom,Left PMC,0,-0.071827731221501712,0.037184984751752269
intact_tom,Left PMC,1,-0.054148439293135148,0.035479903648453603
intact_tom,Left PMC,2,0.1369346947113208,0.044815379760296474
intact_tom,Left PMC,3,0.27760139652954674,0.053874799744898408
intact_tom,Left PMC,4,0.27795806176322846,0.066535474867060157
intact_tom,Left PMC,5,0.060148814261799237,0.055147003598824046
intact_tom,Left PMC,6,-0.1449821435767161,0.032416049358832924
intact_tom,Left PMC,7,-0.32810125905787996,0.025286703039754086
intact_tom,Left PMC,8,-0.39806656700786974,0.044139811058426903
intact_tom,Left PMC,9,-0.39417278791737009,0.049676252296037796
intact_tom,Left PMC,10,-0.348607933962918,0.051043550827736005
intact_tom,Left PMC,11,-0.29509058354465428,0.058674621470283274
intact_tom,Left PMC,12,-0.17880074244577354,0.053878531680927176
intact_tom,Left PMC,13,-0.079243772239665472,0.054451742888004973
intact_tom,Left PMC,14,0.0064238562355259307,0.059139453319647546
intact_tom,Left PMC,15,0.083933098803066708,0.066641931081726322
intact_tom,Left PMC,16,0.17141344164487773,0.055422672588231088
intact_tom,Left PMC,17,0.1845353096133093,0.038102171548902136
intact_tom,Left PMC,18,0.14891257048687515,0.043827998927993737
intact_tom,Left PMC,19,0.22308804568666818,0.048827587622808553
intact_tom,Left PMC,20,0.18668446659849822,0.053197170272666731
scram_pause,Left PMC,-20,-0.00098868813072577671,0.029032702104574436
scram_pause,Left PMC,-19,-0.0099597426432230744,0.036816122716435959
scram_pause,Left PMC,-18,-0.0085605259329172897,0.037444859784609617
scram_pause,Left PMC,-17,-0.032878909988726432,0.034897481201631768
scram_pause,Left PMC,-16,-0.054188452722060701,0.039240622554464706
scram_pause,Left PMC,-15,-0.058761472850188047,0.030067940607721499
scram_pause,Left PMC,-14,-0.060603338204502658,0.026742012625783438
scram_pause,Left PMC,-13,-0.036364976180779149,0.034087790423499631
scram_pause,Left PMC,-12,-0.046073108050548262,0.030924034704039115
scram_pause,Left PMC,-11,-0.044523919876130996,0.02745897426824416
scram_pause,Left PMC,-10,-0.09708121504827269,0.034545050174180199
scram_pause,Left PMC,-9,-0.08318047535188472,0.034240377124119391
scram_pause,Left PMC,-8,-0.065729949396340012,0.042832577883059081
scram_pause,Left PMC,-7,-0.061621274930030306,0.03660797904915198
scram_pause,Left PMC,-6,-0.053206489429977369,0.034569192250350288
scram_pause,Left PMC,-5,-0.030113288055736993,0.039495347854567313
scram_pause,Left PMC,-4,-0.066442607696054812,0.035549163191844584
scram_pause,Left PMC,-3,-0.037645466157063774,0.037161067375232518
scram_pause,Left PMC,-2,-0.05766260990518618,0.031291382352866139
scram_pause,Left PMC,-1,-0.068213988895583791,0.040319480959871097
scram_pause,Left PMC,0,-0.083565699513862238,0.046759979655012218
scram_pause,Left PMC,1,-0.10672398395916816,0.046384167133199761
scram_pause,Left PMC,2,0.017509442098312625,0.047566411717095046
scram_pause,Left PMC,3,0.12880583790222069,0.0520109695745068
scram_pause,Left PMC,4,0.16272127687546356,0.048890006153267197
scram_pause,Left PMC,5,0.072586341158734136,0.046771278881490741
scram_pause,Left PMC,6,0.0073931751923027094,0.035499609018788784
scram_pause,Left PMC,7,-0.060830157150918461,0.035694853682775605
scram_pause,Left PMC,8,-0.063167621058508885,0.036234936647478615
scram_pause,Left PMC,9,-0.078399445174476265,0.038100058637758158
scram_pause,Left PMC,10,-0.05646658282298677,0.034274422356488754
scram_pause,Left PMC,11,-0.016191705311913124,0.04389583037742377
scram_pause,Left PMC,12,0.033069047773081998,0.049195227711087697
scram_pause,Left PMC,13,0.028297467371263953,0.037460006554017301
scram_pause,Left PMC,14,0.012051180453156059,0.042205164209418639
scram_pause,Left PMC,15,0.0080778265617369085,0.046254107314429187
scram_pause,Left PMC,16,0.020767103090061047,0.057062288825537801
scram_pause,Left PMC,17,0.088640277771883297,0.060226188820454149
scram_pause,Left PMC,18,0.20188742107295435,0.055788244455382739
scram_pause,Left PMC,19,0.23464981843766614,0.067794472884104617
scram_pause,Left PMC,20,0.26546478840407467,0.063959301791287532
intact_pause,Right PMC,-20,-0.040712856214695954,0.044205666344215695
intact_pause,Right PMC,-19,-0.042994684982739069,0.048255717905396588
intact_pause,Right PMC,-18,-0.079487857368650147,0.046078831216172671
intact_pause,Right PMC,-17,-0.07300436381223406,0.046586202773852926
intact_pause,Right PMC,-16,-0.07065234417625578,0.045291825692872684
