condition,subj_index,diff_post_minus_pre
intact_pause,0,0.06121127916376567
intact_pause,1,0.2395859637580962
intact_pause,2,0.06442603948388578
intact_pause,3,0.2307146206557179
intact_pause,4,0.3928487358760463
intact_pause,5,0.025989447100388037
intact_pause,6,0.18082170211967735
intact_pause,7,0.04052450542226871
intact_pause,8,-0.029216962226589746
intact_pause,9,-0.03516894453038424
intact_pause,10,0.2346163429821243
intact_pause,11,0.14911864665311558
intact_pause,12,0.2487183892355451
intact_pause,13,0.0039075284124288345
intact_pause,14,0.012997881414727819
intact_pause,15,0.276251283075209
intact_pause,16,0.045147156863002844
intact_pause,17,0.011795374601738936
intact_pause,18,0.19976482474935148
intact_tom,0,0.5016761369453906
intact_tom,1,0.15583481034321459
intact_tom,2,0.35420192997365524
intact_tom,3,0.15135475262690903
intact_tom,4,0.03901100895794676
intact_tom,5,0.026965414486489425
intact_tom,6,0.34599037981589614
intact_tom,7,0.1361896833967632
intact_tom,8,0.08995195148218132
intact_tom,9,-0.08667255900916707
intact_tom,10,0.5125533787725528
intact_tom,11,0.08850277860320828
intact_tom,12,0.3169698378221178
intact_tom,13,-0.3658536117915115
intact_tom,14,0.2594976418283773
intact_tom,15,0.298435707349088
intact_tom,16,0.12590516853053996
intact_tom,17,-0.12666940061310394
intact_tom,18,0.31640010364944826
scram_pause,0,-0.32100403769827557
scram_pause,1,0.12156459475504114
scram_pause,2,0.3495531984610043
scram_pause,3,0.1791588089254484
scram_pause,4,0.026409100962360793
scram_pause,5,0.2605106412280139
scram_pause,6,0.27423501763946606
scram_pause,7,-0.37679647270573546
scram_pause,8,0.25276368831051516
scram_pause,9,0.2648051602344703
scram_pause,10,0.042161564979964955
scram_pause,11,0.562406801057183
scram_pause,12,-0.07130038483031421
scram_pause,13,0.19452114803553777
scram_pause,14,0.27651894424615187
scram_pause,15,-0.2078601419506318
scram_pause,16,0.10629598471133467
scram_pause,17,0.04741062434869578
scram_pause,18,0.45813737973830865
