system,network_17,scheme,n_parcels,n_sig_FDR,stat_range,centroid_MNI
Default mode,DefaultA,IP-IP,34,29,0.020–0.213,"(2, -10, 25)"
Default mode,DefaultB,IP-IP,32,25,0.021–0.370,"(-11, 12, 13)"
Default mode,DefaultC,IP-IP,13,6,0.017–0.120,"(6, -62, 17)"
Frontoparietal control,ContA,IP-IP,24,16,0.028–0.143,"(-4, -19, 37)"
Frontoparietal control,ContB,IP-IP,25,19,0.018–0.201,"(14, -3, 22)"
Frontoparietal control,ContC,IP-IP,12,12,0.035–0.148,"(3, -55, 36)"
Salience / ventral attention,SalVentAttnA,IP-IP,34,23,0.018–0.252,"(4, -12, 21)"
Salience / ventral attention,SalVentAttnB,IP-IP,17,16,0.015–0.113,"(1, 29, 17)"
Dorsal attention,DorsAttnA,IP-IP,27,15,0.016–0.150,"(6, -63, 26)"
Dorsal attention,DorsAttnB,IP-IP,25,8,0.012–0.150,"(24, -35, 45)"
Somatomotor,SomMotA,IP-IP,39,7,0.014–0.047,"(18, -19, 62)"
Somatomotor,SomMotB,IP-IP,31,26,0.034–0.406,"(0, -15, 14)"
Temporoparietal,TempPar,IP-IP,16,16,0.059–0.297,"(13, -28, 3)"
Visual,VisCent,IP-IP,24,8,0.015–0.042,"(9, -80, 0)"
Visual,VisPeri,IP-IP,23,9,0.021–0.060,"(-4, -75, 21)"
Limbic,LimbicA,IP-IP,13,5,0.013–0.056,"(11, -10, -31)"
Limbic,LimbicB,IP-IP,11,6,0.025–0.052,"(-1, 37, -17)"
Default mode,DefaultA,SP-SP,34,28,0.019–0.151,"(1, -11, 26)"
Default mode,DefaultB,SP-SP,32,22,0.019–0.361,"(-16, 6, 7)"
Default mode,DefaultC,SP-SP,13,8,0.011–0.051,"(4, -52, 7)"
Frontoparietal control,ContA,SP-SP,24,16,0.022–0.144,"(-2, -4, 32)"
Frontoparietal control,ContB,SP-SP,25,16,0.019–0.156,"(19, 7, 21)"
Frontoparietal control,ContC,SP-SP,12,10,0.024–0.089,"(1, -53, 36)"
Salience / ventral attention,SalVentAttnA,SP-SP,34,28,0.018–0.377,"(5, -10, 26)"
Salience / ventral attention,SalVentAttnB,SP-SP,17,10,0.024–0.093,"(19, 25, 17)"
Dorsal attention,DorsAttnA,SP-SP,27,11,0.016–0.086,"(3, -63, 27)"
Dorsal attention,DorsAttnB,SP-SP,25,6,0.016–0.054,"(22, -37, 48)"
Somatomotor,SomMotA,SP-SP,39,8,0.012–0.040,"(14, -18, 60)"
Somatomotor,SomMotB,SP-SP,31,27,0.025–0.445,"(6, -15, 15)"
Temporoparietal,TempPar,SP-SP,16,16,0.069–0.232,"(13, -28, 3)"
Visual,VisCent,SP-SP,24,3,0.018–0.038,"(-21, -77, 3)"
Visual,VisPeri,SP-SP,23,8,0.015–0.045,"(7, -64, 11)"
Limbic,LimbicA,SP-SP,13,6,0.022–0.032,"(11, 1, -31)"
Limbic,LimbicB,SP-SP,11,3,0.020–0.041,"(-5, 36, -16)"
Default mode,DefaultA,IT-IT,34,34,0.026–0.197,"(2, -2, 24)"
Default mode,DefaultB,IT-IT,32,31,0.014–0.190,"(-12, 15, 15)"
Default mode,DefaultC,IT-IT,13,12,0.020–0.134,"(1, -50, 5)"
Frontoparietal control,ContA,IT-IT,24,22,0.029–0.134,"(-5, -14, 36)"
Frontoparietal control,ContB,IT-IT,25,24,0.029–0.161,"(9, -2, 24)"
Frontoparietal control,ContC,IT-IT,12,12,0.065–0.171,"(3, -55, 36)"
Salience / ventral attention,SalVentAttnA,IT-IT,34,33,0.023–0.139,"(5, -10, 28)"
Salience / ventral attention,SalVentAttnB,IT-IT,17,17,0.046–0.126,"(3, 29, 15)"
Dorsal attention,DorsAttnA,IT-IT,27,27,0.017–0.112,"(2, -63, 27)"
Dorsal attention,DorsAttnB,IT-IT,25,25,0.018–0.154,"(-1, -29, 50)"
Somatomotor,SomMotA,IT-IT,39,34,0.014–0.144,"(4, -24, 62)"
Somatomotor,SomMotB,IT-IT,31,31,0.021–0.140,"(-2, -14, 17)"
Temporoparietal,TempPar,IT-IT,16,16,0.041–0.187,"(13, -28, 3)"
Visual,VisCent,IT-IT,24,22,0.020–0.079,"(-1, -84, -1)"
Visual,VisPeri,IT-IT,23,20,0.013–0.153,"(1, -66, 11)"
Limbic,LimbicA,IT-IT,13,12,0.010–0.040,"(1, -4, -32)"
Limbic,LimbicB,IT-IT,11,7,0.016–0.047,"(3, 37, -17)"
Default mode,DefaultA,IT-IP,34,15,0.026–0.106,"(13, -30, 32)"
Default mode,DefaultB,IT-IP,32,2,0.028–0.075,"(-25, 2, 30)"
Default mode,DefaultC,IT-IP,13,1,0.048–0.048,"(13, -55, 16)"
Frontoparietal control,ContA,IT-IP,24,8,0.013–0.065,"(-13, -46, 47)"
Frontoparietal control,ContB,IT-IP,25,7,0.018–0.088,"(9, -12, 40)"
Frontoparietal control,ContC,IT-IP,12,5,0.033–0.058,"(2, -62, 35)"
Salience / ventral attention,SalVentAttnA,IT-IP,34,5,0.016–0.030,"(2, -11, 32)"
Salience / ventral attention,SalVentAttnB,IT-IP,17,6,0.018–0.033,"(-12, 45, 20)"
Dorsal attention,DorsAttnA,IT-IP,27,12,0.017–0.048,"(-2, -60, 37)"
Dorsal attention,DorsAttnB,IT-IP,25,4,0.017–0.047,"(-18, -37, 50)"
Somatomotor,SomMotA,IT-IP,39,2,0.021–0.027,"(-9, -10, 66)"
Somatomotor,SomMotB,IT-IP,31,0,—,—
Temporoparietal,TempPar,IT-IP,16,0,—,—
Visual,VisCent,IT-IP,24,2,0.013–0.020,"(-29, -67, -14)"
Visual,VisPeri,IT-IP,23,3,0.021–0.049,"(-1, -71, 11)"
Limbic,LimbicA,IT-IP,13,3,0.012–0.021,"(12, 3, -30)"
Limbic,LimbicB,IT-IP,11,4,0.013–0.020,"(-3, 33, -18)"
