parcel_id,full_label,hemisphere,network,subregion,x_mni,y_mni,z_mni
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,-35.4,-62.0,-17.1
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,-23.4,-72.7,-10.3
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,-36.4,-81.4,-16.0
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,-17.0,-86.4,-15.0
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,-24.4,-96.7,-11.9
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,-41.6,-86.4,-3.3
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,-7.4,-97.3,-7.2
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,-46.1,-73.1,6.1
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,-24.4,-95.9,5.9
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,-39.4,-83.7,14.1
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,-10.9,-96.5,17.2
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,-24.9,-84.7,21.9
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,-24.5,-54.5,-8.2
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,-12.2,-61.2,-4.7
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,-6.7,-75.8,-5.7
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,-13.4,-42.9,-5.4
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,-14.1,-56.9,1.3
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,-4.6,-88.4,1.8
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,-7.4,-74.2,9.5
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,-18.9,-64.2,7.0
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,-3.0,-84.2,24.5
