task,condition,epoch,onset_tr_index,offset_tr_index_exclusive,onset_s,offset_s,duration_trs
carver,continuous,1,127,127,190.5,190.5,0
carver,continuous,2,160,160,240.0,240.0,0
carver,continuous,3,200,200,300.0,300.0,0
carver,continuous,4,231,231,346.5,346.5,0
carver,continuous,5,262,262,393.0,393.0,0
carver,continuous,6,290,290,435.0,435.0,0
carver,continuous,7,322,322,483.0,483.0,0
carver,continuous,8,348,348,522.0,522.0,0
carver,continuous,9,380,380,570.0,570.0,0
carver,continuous,10,406,406,609.0,609.0,0
carver,continuous,11,431,431,646.5,646.5,0
carver,continuous,12,458,458,687.0,687.0,0
carver,continuous,13,489,489,733.5,733.5,0
carver,continuous,14,522,522,783.0,783.0,0
carver,continuous,15,562,562,843.0,843.0,0
carver,continuous,16,585,585,877.5,877.5,0
carver,continuous,17,609,609,913.5,913.5,0
carver,intact_pause,1,127,145,190.5,217.5,18
carver,intact_pause,2,178,195,267.0,292.5,17
carver,intact_pause,3,235,251,352.5,376.5,16
carver,intact_pause,4,282,298,423.0,447.0,16
carver,intact_pause,5,329,345,493.5,517.5,16
carver,intact_pause,6,373,389,559.5,583.5,16
carver,intact_pause,7,421,438,631.5,657.0,17
carver,intact_pause,8,464,483,696.0,724.5,19
carver,intact_pause,9,515,533,772.5,799.5,18
carver,intact_pause,10,559,577,838.5,865.5,18
carver,intact_pause,11,602,618,903.0,927.0,16
carver,intact_pause,12,645,662,967.5,993.0,17
carver,intact_pause,13,693,710,1039.5,1065.0,17
carver,intact_pause,14,743,762,1114.5,1143.0,19
carver,intact_pause,15,802,820,1203.0,1230.0,18
carver,intact_pause,16,843,858,1264.5,1287.0,15
carver,intact_pause,17,882,899,1323.0,1348.5,17
carver,intact_tom,1,127,145,190.5,217.5,18
carver,intact_tom,2,178,195,267.0,292.5,17
carver,intact_tom,3,235,251,352.5,376.5,16
carver,intact_tom,4,282,298,423.0,447.0,16
carver,intact_tom,5,329,345,493.5,517.5,16
carver,intact_tom,6,373,389,559.5,583.5,16
carver,intact_tom,7,421,438,631.5,657.0,17
carver,intact_tom,8,464,483,696.0,724.5,19
carver,intact_tom,9,515,533,772.5,799.5,18
carver,intact_tom,10,559,577,838.5,865.5,18
carver,intact_tom,11,602,618,903.0,927.0,16
carver,intact_tom,12,645,662,967.5,993.0,17
carver,intact_tom,13,693,710,1039.5,1065.0,17
carver,intact_tom,14,743,762,1114.5,1143.0,19
carver,intact_tom,15,802,820,1203.0,1230.0,18
carver,intact_tom,16,843,858,1264.5,1287.0,15
carver,intact_tom,17,882,899,1323.0,1348.5,17
carver,scram_pause,1,136,154,204.0,231.0,18
carver,scram_pause,2,188,203,282.0,304.5,15
carver,scram_pause,3,225,242,337.5,363.0,17
carver,scram_pause,4,271,290,406.5,435.0,19
carver,scram_pause,5,325,342,487.5,513.0,17
carver,scram_pause,6,377,393,565.5,589.5,16
carver,scram_pause,7,420,439,630.0,658.5,19
carver,scram_pause,8,473,490,709.5,735.0,17
carver,scram_pause,9,522,538,783.0,807.0,16
carver,scram_pause,10,565,583,847.5,874.5,18
carver,scram_pause,11,610,628,915.0,942.0,18
carver,scram_pause,12,654,672,981.0,1008.0,18
carver,scram_pause,13,699,715,1048.5,1072.5,16
carver,scram_pause,14,737,754,1105.5,1131.0,17
carver,scram_pause,15,775,791,1162.5,1186.5,16
carver,scram_pause,16,823,839,1234.5,1258.5,16
carver,scram_pause,17,871,888,1306.5,1332.0,17
ntf,continuous,1,46,46,69.0,69.0,0
ntf,continuous,2,73,73,109.5,109.5,0
ntf,continuous,3,105,105,157.5,157.5,0
ntf,continuous,4,140,140,210.0,210.0,0
ntf,continuous,5,164,164,246.0,246.0,0
ntf,continuous,6,195,195,292.5,292.5,0
ntf,continuous,7,223,223,334.5,334.5,0
ntf,continuous,8,251,251,376.5,376.5,0
ntf,continuous,9,273,273,409.5,409.5,0
ntf,continuous,10,302,302,453.0,453.0,0
ntf,continuous,11,332,332,498.0,498.0,0
ntf,intact_pause,1,46,64,69.0,96.0,18
ntf,intact_pause,2,91,106,136.5,159.0,15
ntf,intact_pause,3,138,157,207.0,235.5,19
ntf,intact_pause,4,192,208,288.0,312.0,16
ntf,intact_pause,5,232,248,348.0,372.0,16
ntf,intact_pause,6,279,296,418.5,444.0,17
ntf,intact_pause,7,324,339,486.0,508.5,15
ntf,intact_pause,8,367,384,550.5,576.0,17
ntf,intact_pause,9,406,423,609.0,634.5,17
ntf,intact_pause,10,452,467,678.0,700.5,15
ntf,intact_pause,11,497,512,745.5,768.0,15
ntf,intact_tom,1,46,64,69.0,96.0,18
ntf,intact_tom,2,91,106,136.5,159.0,15
ntf,intact_tom,3,138,157,207.0,235.5,19
ntf,intact_tom,4,192,208,288.0,312.0,16
ntf,intact_tom,5,232,248,348.0,372.0,16
ntf,intact_tom,6,279,296,418.5,444.0,17
ntf,intact_tom,7,324,339,486.0,508.5,15
ntf,intact_tom,8,367,384,550.5,576.0,17
ntf,intact_tom,9,406,423,609.0,634.5,17
ntf,intact_tom,10,452,467,678.0,700.5,15
ntf,intact_tom,11,497,512,745.5,768.0,15
ntf,scram_pause,1,48,63,72.0,94.5,15
ntf,scram_pause,2,93,110,139.5,165.0,17
ntf,scram_pause,3,128,145,192.0,217.5,17
ntf,scram_pause,4,178,197,267.0,295.5,19
ntf,scram_pause,5,219,234,328.5,351.0,15
ntf,scram_pause,6,268,284,402.0,426.0,16
ntf,scram_pause,7,319,335,478.5,502.5,16
ntf,scram_pause,8,359,374,538.5,561.0,15
ntf,scram_pause,9,406,424,609.0,636.0,18
ntf,scram_pause,10,450,467,675.0,700.5,17
ntf,scram_pause,11,499,514,748.5,771.0,15
