scram_pos,segment,finer
8,1,1.0
26,1,2.0
3,1,3.0
4,2,1.0
47,2,2.0
52,2,3.0
53,3,1.0
38,3,2.0
18,3,3.0
19,4,1.0
11,4,2.0
27,4,3.0
28,5,1.0
55,5,2.0
45,5,3.0
46,6,1.0
17,6,2.0
48,6,3.0
49,7,1.0
50,7,2.1
20,7,2.2
42,7,3.0
43,8,1.0
23,8,2.0
12,8,3.0
13,9,1.0
54,9,2.0
36,9,3.0
37,10,1.0
29,10,2.0
33,10,3.0
34,11,1.0
32,11,2.0
39,11,3.0
40,12,1.0
35,12,2.0
9,12,3.0
10,13,1.0
2,13,2.0
24,13,3.0
25,14,1.0
1,14,2.0
21,14,3.0
22,15,1.0
5,15,2.0
30,15,3.0
31,16,1.0
41,16,2.0
6,16,3.0
7,17,1.0
51,17,2.0
15,17,3.0
16,18,1.0
14,18,2.0
44,18,3.0
