subj_id,narrative,condition,analysis_sample,exclusion_reason
sub-008,carver,continuous,yes,
sub-009,carver,continuous,yes,
sub-010,carver,continuous,yes,
sub-011,carver,continuous,yes,
sub-012,carver,continuous,no,short free recall (<3 min)
sub-014,carver,continuous,yes,
sub-015,carver,continuous,yes,
sub-016,carver,continuous,no,in-scanner sleep (main narrative)
sub-017,carver,continuous,no,in-scanner sleep (second narrative)
sub-020,carver,continuous,yes,
sub-021,carver,continuous,yes,
sub-022,carver,continuous,yes,
sub-044,carver,continuous,no,scanning incomplete due to technical issue (second-narrative run stopped early)
sub-056,carver,continuous,no,short free recall (<3 min); unable to perform ToM task
sub-071,carver,continuous,yes,
sub-077,carver,continuous,yes,
sub-078,carver,continuous,yes,
sub-079,carver,continuous,yes,
sub-083,carver,continuous,yes,
sub-084,carver,continuous,yes,
sub-085,carver,continuous,yes,
sub-104,carver,continuous,no,in-scanner sleep (main narrative)
sub-027,carver,intact_pause,yes,
sub-028,carver,intact_pause,no,excessive head motion (main narrative)
sub-029,carver,intact_pause,no,failed neural quality control (whole-brain inter-subject synchrony did not peak in auditory/language cortex)
sub-030,carver,intact_pause,no,short free recall (<3 min)
sub-037,carver,intact_pause,yes,
sub-039,carver,intact_pause,yes,
sub-045,carver,intact_pause,yes,
sub-046,carver,intact_pause,yes,
sub-055,carver,intact_pause,yes,
sub-063,carver,intact_pause,yes,
sub-065,carver,intact_pause,yes,
sub-069,carver,intact_pause,yes,
sub-070,carver,intact_pause,yes,
sub-072,carver,intact_pause,yes,
sub-073,carver,intact_pause,yes,
sub-086,carver,intact_pause,yes,
sub-087,carver,intact_pause,no,short free recall (<3 min)
sub-088,carver,intact_pause,yes,
sub-089,carver,intact_pause,yes,
sub-090,carver,intact_pause,yes,
sub-099,carver,intact_pause,yes,
sub-100,carver,intact_pause,yes,
sub-103,carver,intact_pause,yes,
sub-026,carver,intact_tom,yes,
sub-032,carver,intact_tom,yes,
sub-034,carver,intact_tom,yes,
sub-035,carver,intact_tom,no,low recognition memory (4AFC below chance)
sub-036,carver,intact_tom,yes,
sub-038,carver,intact_tom,yes,
sub-048,carver,intact_tom,yes,
sub-049,carver,intact_tom,yes,
sub-057,carver,intact_tom,yes,
sub-058,carver,intact_tom,yes,
sub-059,carver,intact_tom,yes,
sub-060,carver,intact_tom,yes,
sub-061,carver,intact_tom,yes,
sub-062,carver,intact_tom,yes,
sub-074,carver,intact_tom,no,short free recall (<3 min)
sub-075,carver,intact_tom,yes,
sub-091,carver,intact_tom,yes,
sub-092,carver,intact_tom,yes,
sub-093,carver,intact_tom,yes,
sub-094,carver,intact_tom,no,excessive head motion (second narrative)
sub-095,carver,intact_tom,yes,
sub-101,carver,intact_tom,yes,
sub-023,carver,scram_pause,yes,
sub-024,carver,scram_pause,yes,
sub-025,carver,scram_pause,yes,
sub-031,carver,scram_pause,yes,
sub-041,carver,scram_pause,yes,
sub-042,carver,scram_pause,yes,
sub-043,carver,scram_pause,yes,
sub-047,carver,scram_pause,yes,
sub-050,carver,scram_pause,yes,
sub-051,carver,scram_pause,yes,
sub-052,carver,scram_pause,yes,
sub-053,carver,scram_pause,yes,
sub-066,carver,scram_pause,no,in-scanner sleep and excessive head motion (main narrative)
sub-067,carver,scram_pause,yes,
sub-068,carver,scram_pause,yes,
sub-076,carver,scram_pause,no,in-scanner sleep (main narrative)
sub-080,carver,scram_pause,no,short free recall (<3 min)
sub-081,carver,scram_pause,no,short free recall (<3 min)
sub-082,carver,scram_pause,yes,
sub-096,carver,scram_pause,yes,
sub-097,carver,scram_pause,yes,
sub-098,carver,scram_pause,yes,
sub-102,carver,scram_pause,yes,
sub-008,ntf,continuous,yes,
sub-009,ntf,continuous,yes,
sub-010,ntf,continuous,yes,
sub-011,ntf,continuous,yes,
sub-012,ntf,continuous,no,short free recall (<3 min)
sub-014,ntf,continuous,yes,
sub-015,ntf,continuous,yes,
sub-016,ntf,continuous,no,in-scanner sleep (main narrative)
sub-017,ntf,continuous,no,in-scanner sleep (second narrative)
sub-020,ntf,continuous,yes,
sub-021,ntf,continuous,yes,
sub-022,ntf,continuous,yes,
sub-044,ntf,continuous,no,scanning incomplete due to technical issue (second-narrative run stopped early)
sub-056,ntf,continuous,no,short free recall (<3 min); unable to perform ToM task
sub-071,ntf,continuous,yes,
sub-077,ntf,continuous,yes,
sub-078,ntf,continuous,yes,
sub-079,ntf,continuous,yes,
sub-083,ntf,continuous,yes,
sub-084,ntf,continuous,yes,
sub-085,ntf,continuous,yes,
sub-104,ntf,continuous,no,in-scanner sleep (main narrative)
sub-026,ntf,intact_pause,yes,
sub-032,ntf,intact_pause,yes,
sub-034,ntf,intact_pause,yes,
sub-035,ntf,intact_pause,no,low recognition memory (4AFC below chance)
sub-036,ntf,intact_pause,yes,
sub-038,ntf,intact_pause,yes,
sub-048,ntf,intact_pause,yes,
sub-049,ntf,intact_pause,yes,
sub-057,ntf,intact_pause,yes,
sub-058,ntf,intact_pause,yes,
sub-059,ntf,intact_pause,yes,
sub-060,ntf,intact_pause,yes,
sub-061,ntf,intact_pause,yes,
sub-062,ntf,intact_pause,yes,
sub-074,ntf,intact_pause,no,short free recall (<3 min)
sub-075,ntf,intact_pause,yes,
sub-091,ntf,intact_pause,yes,
sub-092,ntf,intact_pause,yes,
sub-093,ntf,intact_pause,yes,
sub-094,ntf,intact_pause,no,excessive head motion (second narrative)
sub-095,ntf,intact_pause,yes,
sub-101,ntf,intact_pause,yes,
sub-027,ntf,intact_tom,yes,
sub-029,ntf,intact_tom,no,failed neural quality control (whole-brain inter-subject synchrony did not peak in auditory/language cortex)
sub-030,ntf,intact_tom,no,short free recall (<3 min)
sub-037,ntf,intact_tom,yes,
sub-039,ntf,intact_tom,yes,
sub-045,ntf,intact_tom,yes,
sub-046,ntf,intact_tom,yes,
sub-055,ntf,intact_tom,yes,
sub-063,ntf,intact_tom,yes,
sub-065,ntf,intact_tom,yes,
sub-069,ntf,intact_tom,yes,
sub-070,ntf,intact_tom,yes,
sub-072,ntf,intact_tom,yes,
sub-073,ntf,intact_tom,yes,
sub-086,ntf,intact_tom,yes,
sub-088,ntf,intact_tom,yes,
sub-089,ntf,intact_tom,yes,
sub-090,ntf,intact_tom,yes,
sub-099,ntf,intact_tom,yes,
sub-100,ntf,intact_tom,yes,
sub-103,ntf,intact_tom,yes,
sub-023,ntf,scram_pause,yes,
sub-024,ntf,scram_pause,yes,
sub-025,ntf,scram_pause,yes,
sub-031,ntf,scram_pause,yes,
sub-041,ntf,scram_pause,yes,
sub-042,ntf,scram_pause,yes,
sub-043,ntf,scram_pause,yes,
sub-047,ntf,scram_pause,yes,
sub-050,ntf,scram_pause,yes,
sub-051,ntf,scram_pause,yes,
sub-052,ntf,scram_pause,yes,
sub-053,ntf,scram_pause,yes,
sub-067,ntf,scram_pause,yes,
sub-068,ntf,scram_pause,yes,
sub-076,ntf,scram_pause,no,in-scanner sleep (main narrative)
sub-080,ntf,scram_pause,no,short free recall (<3 min)
sub-081,ntf,scram_pause,no,short free recall (<3 min)
sub-082,ntf,scram_pause,yes,
sub-096,ntf,scram_pause,yes,
sub-097,ntf,scram_pause,yes,
sub-098,ntf,scram_pause,yes,
sub-102,ntf,scram_pause,yes,
