network,n_parcels,n_sig_FDR,pct_sig_FDR,mean_t_FDR_sig
VisCent,24,22,91.66666666666667,3.7242920959650023
VisPeri,23,21,91.30434782608695,4.038706622767949
SomMotA,39,38,97.43589743589743,3.941687593672487
SomMotB,31,30,96.7741935483871,6.829673717677301
DorsAttnA,27,26,96.29629629629629,4.803537309797536
DorsAttnB,25,24,96.0,4.490921255961205
SalVentAttnA,34,33,97.05882352941177,6.091584056981162
SalVentAttnB,17,17,100.0,7.385920541302419
LimbicA,13,10,76.92307692307692,4.6517286370949815
LimbicB,11,6,54.54545454545455,4.2224692096380165
ContA,24,24,100.0,6.554030952792819
ContB,25,23,92.0,6.958624481392794
ContC,12,12,100.0,10.68315061112988
DefaultA,34,32,94.11764705882354,8.979177307207593
DefaultB,32,32,100.0,7.59662569181099
DefaultC,13,13,100.0,6.048978060730727
TempPar,16,16,100.0,11.578213475863093
