parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.07852245517731461,4.522149414847147,0.000263796837820152,0.00040584128895408006,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.05843474339215971,3.5117658957318776,0.0024907905046994178,0.0030941496952787795,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.1155195286349794,3.9672770608513304,0.0009033302521665862,0.001229020751247056,True
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.050716092619171246,2.424252845470371,0.026092927813510157,0.027832456334410834,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.058553206370978404,1.8517447073502145,0.0805381801926258,0.08345925408562259,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.11115518147807935,3.972957165584046,0.0008919719731041045,0.001217709178299119,True
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.0673157088710731,2.4428609539992223,0.025110924985110028,0.026856604262149763,True
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.08664903935591393,4.340340748953292,0.0003942309846948892,0.0005906082167713696,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.03911504594023953,1.696238803860025,0.10706643845622975,0.11009402411951645,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.053850582045458124,3.5581509568516188,0.0022468608250563204,0.0028351556152130222,True
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.04275675384357942,3.1415055319124012,0.005642454168416816,0.006657763030580314,True
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.06453701955264009,3.9650481926598227,0.0009078267576002107,0.0012309515357290992,True
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.033769265359370644,2.3184521495962263,0.03239382030058656,0.034279174921255616,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.04274459560679286,2.961100686045708,0.00836291960913936,0.009612551274872828,True
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.03992001915120686,2.5097195845519495,0.0218615874470548,0.023634148591410598,True
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.05408272782380294,4.725407953330144,0.00016879212735362913,0.0002711520118130588,True
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.03354212089308786,2.1627762740293,0.04426384390902897,0.04671645795148176,True
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.03788656484229501,1.9174491195638446,0.07119083192466441,0.0741571165881921,False
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.0443536957410214,2.5101813002812765,0.021840591260251875,0.023634148591410598,True
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.06069421938282311,3.4834282902429328,0.002652536885804479,0.0032646607825285896,True
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,Visual,-3.0,-84.2,24.5,0.08550486653681204,5.558043590160221,2.820853657875086e-05,5.727621640355505e-05,True
22,17Networks_LH_VisPeri_ExStrSup_3,LH,VisPeri,ExStrSup,Visual,-12.2,-71.0,20.5,0.10825849194036506,5.707601222669368,2.0623493858559735e-05,4.319056305457536e-05,True
23,17Networks_LH_VisPeri_ExStrSup_4,LH,VisPeri,ExStrSup,Visual,-16.0,-89.0,33.6,0.10999226893278821,4.777431712344655,0.0001506415653948633,0.00025106927565810553,True
24,17Networks_LH_VisPeri_ExStrSup_5,LH,VisPeri,ExStrSup,Visual,-12.0,-80.8,36.0,0.22539273708673738,7.328239242988964,8.348963984168948e-07,2.8301572827691346e-06,True
25,17Networks_LH_SomMotA_1,LH,SomMotA,nan,Somatomotor,-7.9,-15.3,46.9,0.07873608691982995,4.3286694400899925,0.0004045569507397267,0.0006038163443876518,True
26,17Networks_LH_SomMotA_2,LH,SomMotA,nan,Somatomotor,-41.0,-14.3,48.0,0.06930237120258988,3.759842430256834,0.0014341465936577717,0.001887034991654963,True
27,17Networks_LH_SomMotA_3,LH,SomMotA,nan,Somatomotor,-48.7,-17.4,54.2,0.06464117013479108,4.7367978634880235,0.0001646367407518822,0.0002655431302449713,True
28,17Networks_LH_SomMotA_4,LH,SomMotA,nan,Somatomotor,-47.3,-29.6,58.2,0.08417249346551961,4.256848938216218,0.00047439724408349175,0.0006932550918441386,True
