segment,finer,pos,intact_pos,scram_pos
1,1.0,head,1,8
1,2.0,mid,2,26
1,3.0,tail,3,3
2,1.0,head,4,4
2,2.0,mid,5,47
2,3.0,tail,6,52
3,1.0,head,7,53
3,2.0,mid,8,38
3,3.0,tail,9,18
4,1.0,head,10,19
4,2.0,mid,11,11
4,3.0,tail,12,27
5,1.0,head,13,28
5,2.0,mid,14,55
5,3.0,tail,15,45
6,1.0,head,16,46
6,2.0,mid,17,17
6,3.0,tail,18,48
7,1.0,head,19,49
7,2.1,mid,20,50
7,2.2,mid,21,20
7,3.0,tail,22,42
8,1.0,head,23,43
8,2.0,mid,24,23
8,3.0,tail,25,12
9,1.0,head,26,13
9,2.0,mid,27,54
9,3.0,tail,28,36
10,1.0,head,29,37
10,2.0,mid,30,29
10,3.0,tail,31,33
11,1.0,head,32,34
11,2.0,mid,33,32
11,3.0,tail,34,39
12,1.0,head,35,40
12,2.0,mid,36,35
12,3.0,tail,37,9
13,1.0,head,38,10
13,2.0,mid,39,2
13,3.0,tail,40,24
14,1.0,head,41,25
14,2.0,mid,42,1
14,3.0,tail,43,21
15,1.0,head,44,22
15,2.0,mid,45,5
15,3.0,tail,46,30
16,1.0,head,47,31
16,2.0,mid,48,41
16,3.0,tail,49,6
17,1.0,head,50,7
17,2.0,mid,51,51
17,3.0,tail,52,15
18,1.0,head,53,16
18,2.0,mid,54,14
18,3.0,tail,55,44
