family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh,ci_boot_lo,ci_boot_hi
story-story,IP-IP,19,17,0.24071597014069857,0.27774437158621496,0.029961080474782388,0.21902065385564148,0.33646808931678845,9.999000099990002e-05,greater,0.27081616266188185,0.18097137381459844,0.3821057792273301
story-story,SP-SP,19,17,0.13514191709580625,0.14782072522688838,0.022561487726374754,0.10360020928319387,0.1920412411705829,9.999000099990002e-05,greater,0.14675337803096353,0.09297056545948951,0.20081020629525229
story-story,IT-IT,19,17,0.19731231856790873,0.22444794007756338,0.028618530605447987,0.16835562009088534,0.28054026006424143,0.00019998000199980003,greater,0.22075337503511425,0.14758412591442255,0.30871822564666584
story-story,IP-IT,19,17,0.2331907959367241,0.2642425025073394,0.020837817311408293,0.22340038057697914,0.3050846244376996,9.999000099990002e-05,greater,0.25825938835702017,0.17294485856464203,0.35917016210669267
story-story,IT-IP,19,17,0.21135747882164288,0.24150938444569583,0.029638910855599013,0.18341711916872178,0.2996016497226699,9.999000099990002e-05,greater,0.23692091850343802,0.1637269127895322,0.3251211946900099
story-int,IP-IP,19,17,-0.11248065564410481,-0.12168137173194223,0.01495031098049555,-0.1509839812537135,-0.09237876221017094,9.999000099990002e-05,less,-0.12108435476250759,-0.19312907301078458,-0.05692315532089058
story-int,SP-SP,19,17,-0.06613306876510353,-0.07272344631012183,0.016678621109762922,-0.10541354368525716,-0.0400333489349865,0.003999600039996,less,-0.07259551278924264,-0.1271721298393746,-0.02354585111271436
story-int,IT-IT,19,17,-0.09898731039322138,-0.10750478347036956,0.01916785551137503,-0.1450737802726646,-0.0699357866680745,0.00019998000199980003,less,-0.1070925349143107,-0.18016286191249067,-0.0431332523974786
story-int,IP-IT,19,17,-0.0928392600387327,-0.10269974327451914,0.011159436865852062,-0.12457223953158918,-0.0808272470174491,9.999000099990002e-05,less,-0.10234019391275789,-0.20656389129895775,-0.01297772584855254
story-int,IT-IP,19,17,-0.06939292061617436,-0.07626842782418658,0.01858673750526141,-0.11269843333449894,-0.03983842231387422,0.0010998900109989002,less,-0.07612088984360481,-0.15224017022809,-0.003359972770942892
