family,condition,n,n_epochs,mean_match,sd_match,se_match,mean_mismatch,sd_mismatch,se_mismatch,selectivity,ci_lo,ci_hi,tested_direction,perm_p_expected_direction,paired_t,df,cohens_dz
story-story,IP-IP,19,17,0.24071597014069857,0.11537087731979255,0.026467894487610756,0.0030372190599446923,0.009575002845747454,0.002196656304669869,0.23767875108075387,0.18502626684043819,0.2878664132926134,selectivity>0,9.999000099990002e-05,8.812148374992587,18,2.0216454864252027
story-story,SP-SP,19,17,0.13514191709580625,0.08658200832796113,0.01986327498054629,0.015485983492241527,0.02416380345478682,0.0055435567026839334,0.11965593360356473,0.08415494549727191,0.15389823259094587,selectivity>0,9.999000099990002e-05,6.498714839748492,18,1.4909074341764104
story-story,IT-IT,19,17,0.19731231856790873,0.1102808420414889,0.025300160308811673,0.01578414417681789,0.01659965922111349,0.003808223002212989,0.18152817439109087,0.1352847042684005,0.22578549112841126,selectivity>0,9.999000099990002e-05,7.541469410100925,18,1.7301317391806963
story-story,IP-IT,19,17,0.2331907959367241,0.07787325397074497,0.017865349708587094,0.011777783833513217,0.015499470242944773,0.003555822340390109,0.22141301210321088,0.18801383856083997,0.25339904091392346,selectivity>0,9.999000099990002e-05,12.827379390410202,18,2.942802656487076
story-story,IT-IP,19,17,0.21135747882164288,0.11354877701484992,0.026049876008966567,0.009297458990897957,0.012312332208738364,0.0028246427293258662,0.2020600198307449,0.15288122030689666,0.24834649508372988,selectivity>0,9.999000099990002e-05,7.971112884718715,18,1.8286987122128344
story-int,IP-IP,19,17,-0.11248065564410481,0.059342230891070824,0.013614041449391332,0.00373744691064139,0.004479733645092259,0.0010277213817334872,-0.11621810255474614,-0.14270156163533615,-0.08779132340792137,selectivity<0,9.999000099990002e-05,-8.134185247664867,18,-1.8661100780321327
story-int,SP-SP,19,17,-0.06613306876510353,0.06745893021042161,0.015476139980346882,0.006848587873109572,0.010523368629634837,0.002414226336958124,-0.0729816566382131,-0.1043739532396434,-0.041829652097242216,selectivity<0,9.999000099990002e-05,-4.44569813892454,18,-1.0199131011083638
story-int,IT-IT,19,17,-0.09898731039322138,0.07754604386866303,0.0177902825628881,-0.0025178397120123354,0.00815786258482705,0.0018715420317132953,-0.09646947068120904,-0.13026861317989885,-0.06192325148515582,selectivity<0,9.999000099990002e-05,-5.3582866855948454,18,-1.2292752722646016
story-int,IP-IT,19,17,-0.0928392600387327,0.04513803467207619,0.010355375349769219,-0.004040742311332757,0.006660770678828216,0.0015280855934268949,-0.08879851772739995,-0.10948684385147023,-0.0675481445968554,selectivity<0,9.999000099990002e-05,-8.14480294141467,18,-1.8685459440357564
story-int,IT-IP,19,17,-0.06939292061617436,0.07386306994742455,0.016945350397921038,0.00013787368767203406,0.0063029611928053534,0.0014459984676051113,-0.0695307943038464,-0.1027420812536085,-0.03464421129546809,selectivity<0,9.999000099990002e-05,-3.921606685639953,18,-0.8996782757377911
