family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh,ci_boot_lo,ci_boot_hi
story-story,IP-IP,19,17,0.10188889102341853,0.10369463581018626,0.012477721051893704,0.0792383025484746,0.1281509690718979,9.999000099990002e-05,greater,0.10332456587517254,0.07423313790248073,0.13263040152706285
story-story,SP-SP,19,17,0.1432724853773551,0.14598925265742432,0.012876721066561495,0.1207508793669638,0.17122762594788485,9.999000099990002e-05,greater,0.14496086929236981,0.12144516691125064,0.1701936715310058
story-story,IT-IT,19,17,0.05701156940523692,0.05755001730047162,0.007916338168342104,0.0420339944905211,0.07306604011042214,9.999000099990002e-05,greater,0.057486566054213546,0.04028997326475985,0.07622754936888201
story-story,IP-IT,19,17,0.06843247537169111,0.06940232741901095,0.008445459474721185,0.05284922684855743,0.08595542798946447,9.999000099990002e-05,greater,0.06929111201843415,0.04307364682162783,0.09777113030429932
story-story,IT-IP,19,17,0.06506758740508704,0.06601367697669161,0.012212465919761275,0.04207724377395951,0.08995011017942371,9.999000099990002e-05,greater,0.06591795224388113,0.04506307798649601,0.08928821231354604
story-int,IP-IP,19,17,-0.13114264798774186,-0.1343627214493403,0.016588771097072904,-0.1668767127996032,-0.10184873009907741,9.999000099990002e-05,less,-0.13355995267583762,-0.15717700790441372,-0.1098169463925537
story-int,SP-SP,19,17,-0.1442828678435977,-0.14764730236481605,0.01522713952388958,-0.17749249583163962,-0.11780210889799247,9.999000099990002e-05,less,-0.14658368578268588,-0.1711816372341098,-0.12272750586782552
story-int,IT-IT,19,17,0.05376708544677103,0.05443023723816225,0.008725617130227056,0.03732802766291722,0.07153244681340729,1.0,less,0.054376548267978275,0.03591473095360886,0.07361741125896756
story-int,IP-IT,19,17,0.08962509503808494,0.09140653014005316,0.011171055540574636,0.06951126128052687,0.11330179899957946,1.0,less,0.09115280619625964,0.060113271883379865,0.12356255020959132
story-int,IT-IP,19,17,-0.04350358751747593,-0.04451040987860043,0.013639611536075635,-0.07124404848930868,-0.017776771267892184,0.0013998600139986002,less,-0.04448103882675889,-0.07648808204997892,-0.01479397417715424
