family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh,ci_boot_lo,ci_boot_hi
story-story,IP-IP,19,17,0.15371949953587005,0.1601137844519426,0.013590366269282174,0.13347666656414955,0.18675090233973565,9.999000099990002e-05,greater,0.15875942286623207,0.1084504581272329,0.2177596401122022
story-story,SP-SP,19,17,0.11350414645766504,0.1169139304682018,0.015394341952943086,0.08674102024043334,0.14708684069597025,9.999000099990002e-05,greater,0.11638413330985949,0.08711365127587063,0.14725119823994046
story-story,IT-IT,19,17,0.11483352814468374,0.12040399636784366,0.013738382236597162,0.09347676718411321,0.1473312255515741,9.999000099990002e-05,greater,0.1198255135158433,0.07118289923824923,0.17532574300518233
story-story,IP-IT,19,17,0.14281382521535618,0.14879693328969457,0.011419646212864842,0.1264144267124795,0.17117943986690964,9.999000099990002e-05,greater,0.14770842481101437,0.09593088636736512,0.2062256797165978
story-story,IT-IP,19,17,0.13146795771311565,0.13853336575620462,0.01907401074034612,0.10114830470512623,0.175918426807283,9.999000099990002e-05,greater,0.13765389575072637,0.0894296419002549,0.19267284290280867
story-int,IP-IP,19,17,-0.04948023827345285,-0.05033971896007607,0.006708738014641021,-0.06348884546877247,-0.03719059245137967,9.999000099990002e-05,less,-0.050297240269856075,-0.08756963115057215,-0.015837020692046806
story-int,SP-SP,19,17,-0.07829623772807558,-0.08014862623167725,0.01414264744883015,-0.10786821523138435,-0.052429037231970156,0.0004999500049995,less,-0.07997744642549413,-0.10539727085316812,-0.0553313528373476
story-int,IT-IT,19,17,-0.05491884759673031,-0.05600564287045926,0.008858035935891214,-0.07336739330480604,-0.03864389243611248,0.00039996000399960006,less,-0.05594715988071942,-0.09414604456207301,-0.021458617159947433
story-int,IP-IT,19,17,-0.041535974978135035,-0.042487070827762805,0.00807836593639853,-0.058320668063103924,-0.026653473592421685,9.999000099990002e-05,less,-0.04246152407844916,-0.08490246565027992,-0.004532009456222309
story-int,IT-IP,19,17,-0.03408200971974444,-0.03465398675359882,0.011657148090731888,-0.05750199701143332,-0.011805976495764321,0.003999600039996,less,-0.034640121436885773,-0.06430959286927732,-0.007008330597841819
