family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh,ci_boot_lo,ci_boot_hi
story-story,IP-IP,19,17,0.03364319669736811,0.03401885455938919,0.009017045115771638,0.01634544613247678,0.0516922629863016,0.0066993300669933005,greater,0.0340057374901244,0.01737135339803543,0.05334785737100764
story-story,SP-SP,19,17,0.06861102217964046,0.06945361813239041,0.008955324963679354,0.05190118120357888,0.08700605506120195,9.999000099990002e-05,greater,0.06934215629039955,0.044639223794468,0.0968956425309463
story-story,IT-IT,19,17,0.04532572307313186,0.04569204798207518,0.006945483279747832,0.03207890075376943,0.059305195210380926,0.00029997000299970003,greater,0.04566027645486909,0.033866993261907355,0.05890184466066054
story-story,IP-IT,19,17,0.041811646002207194,0.04223376943626256,0.008211851753081027,0.026138540000223746,0.05832899887230137,0.00019998000199980003,greater,0.042208676670443354,0.030273707134965147,0.05648884870429494
story-story,IT-IP,19,17,0.0417486201300989,0.04218642875442511,0.009706432757831236,0.02316182054907589,0.06121103695977433,0.00029997000299970003,greater,0.04216142023506549,0.030784858592037702,0.0556204050616921
story-int,IP-IP,19,17,0.012278626826935606,0.012369326953016738,0.007556793545740233,-0.0024419883966341187,0.027180642302667597,0.8471152884711529,less,0.012368696154919243,-0.0018413574835540044,0.02758604401040948
story-int,SP-SP,19,17,0.027682776281534954,0.027944680498932627,0.009034411386508248,0.01023723418137646,0.045652126816488794,0.9942005799420058,less,0.027937408721876507,0.012114961865180521,0.04412856430395433
story-int,IT-IT,19,17,0.026853354573451754,0.0271286723109495,0.006751549766580099,0.013895634768452505,0.04036170985344649,0.9974002599740026,less,0.027122019019726034,0.005956565993780202,0.04807838884927899
story-int,IP-IT,19,17,0.004625377818457545,0.004616174093141073,0.007873644518324343,-0.010816169162774638,0.020048517349056785,0.7207279272072793,less,0.004616141304638629,-0.021618381576368736,0.028695271191206222
story-int,IT-IP,19,17,0.019092326818094637,0.019220617368033942,0.008210926054121926,0.003127202301954967,0.03531403243411292,0.9839016098390161,less,0.01921825081319496,0.0042167575010470726,0.034303165347583736
