family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh,ci_boot_lo,ci_boot_hi
story-story,IP-IP,19,17,0.12681789656581577,0.13111326075829358,0.011028944171186595,0.10949653018276785,0.15272999133381931,9.999000099990002e-05,greater,0.13036708225160792,0.08498584827279419,0.18090450855872686
story-story,SP-SP,19,17,0.06821995144283814,0.06983295438620085,0.011524325984473022,0.04724527545663373,0.09242063331576797,9.999000099990002e-05,greater,0.06971965862063499,0.04552573238818324,0.0960787434605582
story-story,IT-IT,19,17,0.09368881710418304,0.09770446610032779,0.012404861575874487,0.0733909374116138,0.12201799478904178,9.999000099990002e-05,greater,0.09739474778532162,0.0561070127905382,0.14443932661705708
story-story,IP-IT,19,17,0.12149992169428896,0.12580040770842302,0.010587499393405293,0.10504890889734864,0.1465519065194974,9.999000099990002e-05,greater,0.12514095364455016,0.08028807746218673,0.17540662101448504
story-story,IT-IP,19,17,0.11314533993401821,0.11864023142390138,0.01723203686518128,0.08486543916814607,0.1524150236796567,9.999000099990002e-05,greater,0.11808670729677112,0.0764061384281512,0.16496989534641168
story-int,IP-IP,19,17,-0.012941293137512341,-0.01306208759615969,0.006056218062658282,-0.02493227499896992,-0.0011919001933494572,0.034596540345965404,less,-0.013061344770525288,-0.03932030151383605,0.011935458033986154
story-int,SP-SP,19,17,-0.017408847724817777,-0.017740907478539115,0.012449267611999253,-0.04214147199805765,0.006659657040979421,0.146985301469853,less,-0.017739046456287533,-0.03344070115280499,-0.003565227276644259
story-int,IT-IT,19,17,-0.0291131924760913,-0.02954767201311319,0.006306131553203002,-0.04190768985739107,-0.017187654168835307,0.0037996200379962005,less,-0.029539076003069473,-0.05585153525383704,-0.008052038471941898
story-int,IP-IT,19,17,-0.028805956374686303,-0.029468467431025724,0.006530932954146251,-0.04226909602115238,-0.01666783884089907,0.00019998000199980003,less,-0.02945994034651273,-0.06264929708879027,-0.003468848036740826
story-int,IT-IP,19,17,-0.005696778837038344,-0.0055586469222386,0.006943401213937769,-0.019167713301556626,0.008050419457079426,0.21677832216778323,less,-0.005558589671559178,-0.02623392054108847,0.0156325514958461
