outcome,variant,n_cells,beta,se,t,p,n
dmn_realign,full,100,0.016647830634006267,0.0033341899742348755,4.993066010831186,6.804843842359644e-06,57
dmn_realign,diag,10,0.02119836311478513,0.0041130785286998955,5.153892143529224,3.854101651036852e-06,57
dmn_realign,ge1,90,0.016336341799689354,0.0033537073916242175,4.871129139199464,1.0434497280128576e-05,57
dmn_realign,ge2,72,0.016094317160418814,0.0034912597560426335,4.609888202263653,2.5775167677769296e-05,57
dmn_realign,ge3,56,0.01602967680089558,0.0037906913867412125,4.228694759210139,9.332562861327102e-05,57
dmn_realign,ge4,42,0.015585025377569908,0.004159139420882029,3.7471755092703267,0.00044305425004067915,57
dmn_realign,ge5,30,0.014453197639384324,0.004385029698829601,3.2960318702612197,0.0017535816642410477,57
dmn_realign,ge6,20,0.01274825279691924,0.004466658247896258,2.854091826461877,0.006145582064850262,57
dmn_realign,ge7,12,0.01096523005190223,0.00432779652887268,2.5336750419637895,0.014280131417475988,57
dmn_realign,ge8,6,0.008793303978359005,0.0040195487454266175,2.18763461653846,0.033127978643082895,57
dmn_realign,ge9,2,0.007539439463824392,0.0038520057822909247,1.9572762581214038,0.05559060171312395,57
recall,full,100,0.032326987958360975,0.010782139230365206,2.9981979705214785,0.004189946941221182,55
recall,diag,10,0.03241528847463167,0.013648992401108092,2.3749217174448742,0.021351404475714538,55
recall,ge1,90,0.03278636705893641,0.010781971905645997,3.040850722470142,0.0037192311159545215,55
recall,ge2,72,0.03389840638171926,0.011150482807547284,3.0400841799222253,0.0037272355478451353,55
recall,ge3,56,0.03561814980110916,0.011985909753626088,2.9716684451368933,0.00451020017081563,55
recall,ge4,42,0.03677430938045082,0.013003421971177575,2.828048606125529,0.006677028573225972,55
recall,ge5,30,0.03590974259855708,0.013567516457824965,2.6467439866525018,0.010782838023096247,55
recall,ge6,20,0.03483975316900596,0.013585309330872255,2.564516737932021,0.013319160749215072,55
recall,ge7,12,0.03299443368837919,0.012924537434109769,2.5528521896112113,0.013719982807772098,55
recall,ge8,6,0.030585321588411228,0.011675070397078848,2.6197119630271186,0.011563259853609505,55
recall,ge9,2,0.027404197132303985,0.01102302564484852,2.4860866712317784,0.016232625486674094,55
