system,network_17,n_parcels,CT_mean,IP_mean,SP_mean,IT_mean,IP_minus_SP,Welch_t,p_uncorrected,p_FDR_BH_17networks,sig_FDR_0.05
Default mode,DefaultA,34,0.1835132055485504,0.19047586521909043,0.16541652927504566,0.1812624857062428,0.025059335944044775,1.4883050569946052,0.14569410860430973,0.3479598493889361,False
Default mode,DefaultB,32,0.18514106871403044,0.19200914403408922,0.18271463042877864,0.19791143236078487,0.009294513605310584,0.4407170026689976,0.6620748756599486,0.9305391901516491,False
Default mode,DefaultC,13,0.11629893751575689,0.11119846016280033,0.08154216421710242,0.09461754003113616,0.029656295945697908,1.7079669986536088,0.09629896286155742,0.27902516778313136,False
Frontoparietal control,ContA,24,0.1625776942332125,0.159886155989806,0.15112396039229117,0.1661497976569554,0.008762195597514816,0.3727137922486083,0.7115887924689082,0.9305391901516491,False
Frontoparietal control,ContB,25,0.14717484610103077,0.15619517566544622,0.10830182106116298,0.1665413269529177,0.047893354604283234,2.6292387872636,0.01269572044478686,0.1625713485015918,False
Frontoparietal control,ContC,12,0.18556765879848197,0.23353164007459165,0.18136592646187852,0.2211528192409165,0.05216571361271313,1.9710143027947724,0.05650058882746101,0.27902516778313136,False
Salience / ventral attention,SalVentAttnA,34,0.12244452260095254,0.133086943950539,0.1359642379910768,0.12669057072427717,-0.002877294040537798,-0.11405020148199896,0.9099284923840233,0.9769104061917742,False
Salience / ventral attention,SalVentAttnB,17,0.1462086458127184,0.18133497935982446,0.1350228236925179,0.15832340352896282,0.046312155667306565,1.8457535663615425,0.0736049569217286,0.27902516778313136,False
Dorsal attention,DorsAttnA,27,0.1143722457918481,0.10452856913216338,0.09557973149718456,0.10994594587433151,0.00894883763497882,0.389588036637461,0.6991381616378931,0.9305391901516491,False
Dorsal attention,DorsAttnB,25,0.09821245913148284,0.10660857620178175,0.10800725930257093,0.10126051352781192,-0.0013986831007891803,-0.06595169655787003,0.947794240112155,0.9769104061917742,False
Somatomotor,SomMotA,39,0.06455939711760728,0.07148725881276778,0.052788176017945436,0.06626455954519005,0.018699082794822346,0.963941450610737,0.3416689836727793,0.5808372722437248,False
Somatomotor,SomMotB,31,0.1711280227270686,0.1380561744394567,0.19269407510616646,0.16374321858728302,-0.05463790066670976,-2.481116171320577,0.01912604100018727,0.1625713485015918,False
Temporoparietal,TempPar,16,0.3465291574343047,0.3057484429208905,0.3050168315789408,0.33558060826132224,0.0007316113419497117,0.029149213787630256,0.9769104061917742,0.9769104061917742,False
Visual,VisCent,24,0.08573755004978605,0.07432817423472679,0.07051609277489036,0.07272813790533159,0.0038120814598364278,0.1492481050738799,0.8822511031383263,0.9769104061917742,False
Visual,VisPeri,23,0.07492352295236589,0.06858552476438465,0.039648626731584896,0.07712280637083127,0.02893689803279975,1.3155951864378526,0.19749490326647742,0.3730459283922351,False
Limbic,LimbicA,13,0.0937046285018872,0.09373729559558859,0.12225143254172482,0.05801660397916432,-0.028514136946136234,-1.4223785280782277,0.1637458114771464,0.3479598493889361,False
Limbic,LimbicB,11,0.06666698728922164,0.08376329231478635,0.05257547685665727,0.07167682294199879,0.031187815458129084,1.711796908171114,0.09847947098228166,0.27902516778313136,False
