Condition,parcel_id,hemi,network,system,x,y,z,stat,t,p_unc,p_fdr
IP,160,LH,DefaultA,Default mode,-7,-51,43,0.24076906842127327,15.96445314940244,4.523888986898756e-12,1.6579164451698257e-09
IP,394,RH,TempPar,Temporoparietal,62,-19,0,0.3744652355073638,15.40028038199097,8.289582225849128e-12,1.6579164451698257e-09
IP,353,RH,ContC,Frontoparietal control,6,-64,44,0.29447433813027707,14.806240247822094,1.6019756090142096e-11,1.9486846855943355e-09
IP,393,RH,TempPar,Temporoparietal,49,-20,-7,0.37437527444387114,14.63342979765343,1.9486846855943353e-11,1.9486846855943355e-09
IP,196,LH,TempPar,Temporoparietal,-60,-13,-3,0.39247794114084367,14.37852249198745,2.611116099004833e-11,2.0888928792038666e-09
IP,398,RH,TempPar,Temporoparietal,64,-34,10,0.2805001771026659,14.187340477926282,3.2613799784282554e-11,2.1742533189521705e-09
IP,159,LH,DefaultA,Default mode,-3,-68,41,0.29272901887277153,13.641100125008148,6.24457770143528e-11,3.249445890819446e-09
IP,168,LH,DefaultB,Default mode,-54,-2,-29,0.29015105707380523,13.506268897417238,7.355064963261293e-11,3.249445890819446e-09
IP,354,RH,ContC,Frontoparietal control,7,-50,44,0.2291643423349889,13.414251053545858,8.230716485723684e-11,3.249445890819446e-09
IP,399,RH,TempPar,Temporoparietal,54,-46,20,0.2892878043694205,13.37369054283084,8.650852322719613e-11,3.249445890819446e-09
IP,392,RH,TempPar,Temporoparietal,55,-4,-14,0.3387177029104028,13.261971196081317,9.928729268259506e-11,3.249445890819446e-09
IP,374,RH,DefaultB,Default mode,63,-23,-8,0.2936052125527497,13.22146486949852,1.043976731027133e-10,3.249445890819446e-09
SP,196,LH,TempPar,Temporoparietal,-60,-13,-3,0.4464893075650473,21.46486027200389,2.8333844465681764e-14,1.1333537786272706e-11
SP,172,LH,DefaultB,Default mode,-52,-23,-5,0.387036029107282,16.769858788872178,1.966967252231964e-12,3.933934504463928e-10
SP,394,RH,TempPar,Temporoparietal,62,-19,0,0.3897259263144585,15.989703976093534,4.4048438308246135e-12,5.873125107766152e-10
SP,392,RH,TempPar,Temporoparietal,55,-4,-14,0.328946495261505,14.634384172651759,1.946566838012175e-11,1.946566838012175e-09
SP,167,LH,DefaultB,Default mode,-43,13,-33,0.30169151720403625,13.986404473429666,4.1313856442847174e-11,3.305108515427774e-09
SP,45,LH,SomMotB,Somatomotor,-56,-21,8,0.4274128610032409,13.506944183881407,7.349013299921165e-11,4.605391624402824e-09
SP,245,RH,SomMotB,Somatomotor,54,-14,6,0.406350988548726,13.431414765969013,8.05943534270494e-11,4.605391624402824e-09
SP,44,LH,SomMotB,Somatomotor,-50,-10,0,0.32892809006610707,13.275097889072718,9.768811750162316e-11,4.6118598911989135e-09
SP,195,LH,TempPar,Temporoparietal,-53,6,-12,0.31714884575078006,13.226350944364146,1.0376684755197556e-10,4.6118598911989135e-09
SP,148,LH,ContC,Frontoparietal control,-4,-22,29,0.22438848983105414,12.848927409088239,1.6663740679139003e-10,6.665496271655601e-09
SP,170,LH,DefaultB,Default mode,-57,-9,-14,0.34282785493917434,12.461865540540376,2.741020247609507e-10,9.967346354943663e-09
SP,357,RH,ContC,Frontoparietal control,6,-26,28,0.238843125489809,12.264743531038848,3.548723343183813e-10,1.182907781061271e-08
IT,197,LH,TempPar,Temporoparietal,-62,-32,5,0.38264286737902004,16.490436700939412,2.615287138007031e-12,1.0461148552028123e-09
IT,395,RH,TempPar,Temporoparietal,50,-33,2,0.40764019819932523,14.763788170780325,1.6806558513407233e-11,2.169863126837496e-09
IT,196,LH,TempPar,Temporoparietal,-60,-13,-3,0.3917061608298315,14.562799096740562,2.1123445239606008e-11,2.169863126837496e-09
IT,200,LH,TempPar,Temporoparietal,-58,-49,16,0.3232230021289249,14.539333862830775,2.169863126837496e-11,2.169863126837496e-09
IT,394,RH,TempPar,Temporoparietal,62,-19,0,0.42838752846813943,13.906716026583236,4.5411609048361224e-11,3.6329287238688977e-09
IT,199,LH,TempPar,Temporoparietal,-57,-54,10,0.3047724798649215,13.577494456550957,6.74470606951618e-11,4.277719097107776e-09
IT,340,RH,ContB,Frontoparietal control,56,-41,47,0.20560183766156492,13.49179856025341,7.486008419938608e-11,4.277719097107776e-09
IT,198,LH,TempPar,Temporoparietal,-53,-43,5,0.33020553618505916,13.32600024077123,9.173820586624432e-11,4.586910293312216e-09
IT,172,LH,DefaultB,Default mode,-52,-23,-5,0.3498749133439484,12.86236424147259,1.6381909969774475e-10,7.085025385386713e-09
IT,393,RH,TempPar,Temporoparietal,49,-20,-7,0.35797445130890704,12.792216595705563,1.7910503203192244e-10,7.085025385386713e-09
IT,171,LH,DefaultB,Default mode,-61,-35,-3,0.32579215405747475,12.700995730627369,2.0125606407605658e-10,7.085025385386713e-09
IT,341,RH,ContB,Frontoparietal control,41,-55,49,0.26902132234363824,12.614301014709952,2.249838337105988e-10,7.085025385386713e-09
IP vs SP,374,RH,DefaultB,Default mode,63,-23,-8,0.13475754080388913,4.035149988741275,0.0002816298917619728,0.08764219559499738
IP vs SP,313,RH,LimbicB,Limbic,13,23,-20,0.14058083472362778,3.8514712148835413,0.00046459638613266627,0.08764219559499738
IP vs SP,339,RH,ContB,Frontoparietal control,55,-53,44,0.11737565107421061,3.719131159111122,0.0006849805340510189,0.08764219559499738
IP vs SP,353,RH,ContC,Frontoparietal control,6,-64,44,0.1218324342797964,3.6306853884498524,0.0009618884354098649,0.08764219559499738
IP vs SP,228,RH,SomMotA,Somatomotor,7,-10,51,0.086487866003655,3.4234120457925097,0.0015622033764228303,0.08764219559499738
IP vs SP,109,LH,LimbicB,Limbic,-12,24,-20,0.11653377467999036,3.3903063571770975,0.0019321577495535135,0.08764219559499738
IP vs SP,338,RH,ContB,Frontoparietal control,56,-45,32,0.1340356060037065,3.34386641594584,0.001971949400887441,0.08764219559499738
IP vs SP,192,LH,DefaultC,Default mode,-21,-21,-26,0.07005346269036979,3.3001169320617163,0.0022386155812764608,0.08954462325105843
IP vs SP,348,RH,ContB,Frontoparietal control,42,51,-6,0.08383548300772528,3.236437559565607,0.0026919275719907497,0.09788827534511818
IP vs SP,16,LH,VisPeri,Visual,-13,-43,-5,0.06077682214305258,3.1905921472708076,0.0030884521918742042,0.10092861457898604
IP vs SP,360,RH,DefaultA,Default mode,48,-64,42,0.0955678784659926,3.155494864741337,0.0032801799738170464,0.10092861457898604
IP vs SP,191,LH,DefaultC,Default mode,-13,-61,19,0.07066205108316538,2.9773976882710596,0.005204908241936506,0.1431890953834576
