system,network_17,condition,n_parcels,n_sig_FDR,mean_ISC_range,t_range_FDR,centroid_MNI
Default mode,DefaultA,IP,34,32,0.078–0.310,2.94–15.96,"(3, -6, 26)"
Default mode,DefaultA,SP,34,32,0.082–0.265,2.46–12.20,"(2, -6, 25)"
Default mode,DefaultA,IT,34,34,0.069–0.296,2.51–11.54,"(2, -2, 24)"
Default mode,DefaultB,IP,32,32,0.090–0.370,3.24–13.51,"(-14, 14, 14)"
Default mode,DefaultB,SP,32,32,0.078–0.387,3.54–16.77,"(-14, 14, 14)"
Default mode,DefaultB,IT,32,32,0.073–0.352,4.21–12.86,"(-14, 14, 14)"
Default mode,DefaultC,IP,13,13,0.049–0.171,2.78–9.53,"(2, -48, 3)"
Default mode,DefaultC,SP,13,8,0.089–0.195,4.43–6.86,"(6, -56, 11)"
Default mode,DefaultC,IT,13,11,0.029–0.173,2.51–7.72,"(3, -53, 8)"
Frontoparietal control,ContA,IP,24,24,0.105–0.244,4.21–9.06,"(-3, -12, 35)"
Frontoparietal control,ContA,SP,24,24,0.075–0.231,3.22–9.45,"(-3, -12, 35)"
Frontoparietal control,ContA,IT,24,24,0.083–0.269,3.02–11.77,"(-3, -12, 35)"
Frontoparietal control,ContB,IP,25,23,0.072–0.294,2.75–11.02,"(10, 3, 26)"
Frontoparietal control,ContB,SP,25,23,0.041–0.203,2.78–9.03,"(6, -1, 26)"
Frontoparietal control,ContB,IT,25,24,0.078–0.269,2.97–13.49,"(8, -2, 24)"
Frontoparietal control,ContC,IP,12,12,0.180–0.294,6.70–14.81,"(3, -55, 36)"
Frontoparietal control,ContC,SP,12,12,0.137–0.239,4.26–12.85,"(3, -55, 36)"
Frontoparietal control,ContC,IT,12,12,0.161–0.275,5.92–9.90,"(3, -55, 36)"
Salience / ventral attention,SalVentAttnA,IP,34,33,0.074–0.203,3.05–9.37,"(4, -11, 27)"
Salience / ventral attention,SalVentAttnA,SP,34,34,0.078–0.201,2.87–7.81,"(4, -11, 29)"
Salience / ventral attention,SalVentAttnA,IT,34,34,0.066–0.255,2.45–11.09,"(4, -11, 29)"
Salience / ventral attention,SalVentAttnB,IP,17,17,0.134–0.241,4.96–9.13,"(3, 29, 15)"
Salience / ventral attention,SalVentAttnB,SP,17,17,0.083–0.187,2.82–8.87,"(3, 29, 15)"
Salience / ventral attention,SalVentAttnB,IT,17,17,0.109–0.246,4.61–9.99,"(3, 29, 15)"
Dorsal attention,DorsAttnA,IP,27,26,0.053–0.230,2.53–9.49,"(3, -62, 27)"
Dorsal attention,DorsAttnA,SP,27,24,0.054–0.225,2.31–6.97,"(3, -62, 28)"
Dorsal attention,DorsAttnA,IT,27,24,0.061–0.230,2.45–10.67,"(0, -65, 32)"
Dorsal attention,DorsAttnB,IP,25,24,0.055–0.205,2.71–7.94,"(-4, -29, 51)"
Dorsal attention,DorsAttnB,SP,25,24,0.056–0.194,2.21–7.13,"(-2, -28, 49)"
Dorsal attention,DorsAttnB,IT,25,25,0.062–0.196,2.56–6.76,"(-1, -29, 50)"
Somatomotor,SomMotA,IP,39,38,0.039–0.147,2.47–7.52,"(4, -24, 62)"
Somatomotor,SomMotA,SP,39,20,0.040–0.123,2.20–5.13,"(-1, -25, 61)"
Somatomotor,SomMotA,IT,39,26,0.050–0.115,2.38–5.82,"(4, -25, 61)"
Somatomotor,SomMotB,IP,31,30,0.057–0.331,2.74–11.82,"(-4, -15, 17)"
Somatomotor,SomMotB,SP,31,30,0.063–0.427,3.09–13.51,"(-4, -15, 17)"
Somatomotor,SomMotB,IT,31,30,0.042–0.340,2.19–11.42,"(-3, -14, 18)"
Temporoparietal,TempPar,IP,16,16,0.200–0.392,7.91–15.40,"(13, -28, 3)"
Temporoparietal,TempPar,SP,16,16,0.197–0.446,6.23–21.46,"(13, -28, 3)"
Temporoparietal,TempPar,IT,16,16,0.265–0.428,8.74–16.49,"(13, -28, 3)"
Visual,VisCent,IP,24,22,0.043–0.129,2.42–5.23,"(2, -83, -1)"
Visual,VisCent,SP,24,19,0.043–0.145,2.27–4.80,"(-4, -86, 0)"
Visual,VisCent,IT,24,17,0.053–0.126,2.60–4.88,"(-10, -85, 1)"
Visual,VisPeri,IP,23,21,0.034–0.225,2.16–7.33,"(1, -67, 10)"
Visual,VisPeri,SP,23,6,0.042–0.113,2.31–3.75,"(-3, -74, 23)"
Visual,VisPeri,IT,23,20,0.031–0.184,2.22–7.00,"(0, -69, 11)"
Limbic,LimbicA,IP,13,10,0.036–0.191,2.32–8.40,"(1, -3, -32)"
Limbic,LimbicA,SP,13,11,0.077–0.204,2.74–7.31,"(-3, -4, -32)"
Limbic,LimbicA,IT,13,6,0.060–0.195,2.19–6.22,"(15, 2, -30)"
Limbic,LimbicB,IP,11,6,0.093–0.262,2.53–5.85,"(-1, 37, -17)"
Limbic,LimbicB,SP,11,4,0.088–0.200,2.69–4.08,"(-2, 43, -16)"
Limbic,LimbicB,IT,11,7,-0.035–0.254,-2.36–5.22,"(0, 37, -17)"
