parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.003479859075008418,0.10313748224904964,0.9184980704098706,0.972893773023287,False
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.004320931505812767,0.18175497439501415,0.8567946710436937,0.9705257342996342,False
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.004448862034910878,0.08133220404605546,0.9356832922199373,0.972893773023287,False
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,-0.007530803007618832,-0.2213653720596275,0.8261417644627822,0.9705257342996342,False
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,-0.0856060699760395,-1.4543416572636543,0.15617313352232698,0.4963802258690718,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,-0.018971172498976285,-0.47386969986120603,0.6384577338133443,0.9033174536611874,False
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,-0.016968912761392507,-0.36385944203281245,0.7182240673072843,0.9275304857918665,False
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.02686543688321999,1.056755143472539,0.297954559816682,0.6990661080659779,False
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,-0.02830148207187254,-0.8019726152818478,0.4279084298586233,0.7673715339436825,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,-0.021049743073969812,-0.743646854941292,0.4628766206018322,0.7848760876857704,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,-0.02372090593803302,-0.7952125558178349,0.4335620821996753,0.7673715339436825,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.01003029413602883,0.36362927473864065,0.7184171865353868,0.9275304857918665,False
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.004836307966299105,0.19671422029721072,0.8452390681055287,0.9705257342996342,False
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.009540265173450933,0.3682968619641563,0.7150694110403096,0.9275304857918665,False
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.011264408611740856,0.4095738461173748,0.684775993136991,0.913034657515988,False
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.06077682214305258,3.1905921472708076,0.0030884521918742042,0.10092861457898604,False
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.011060398773368417,0.4240200987044671,0.6742572926073553,0.9075375475407773,False
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.0024597204561649863,0.08560028670648516,0.9322595838992208,0.972893773023287,False
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.00020456313064815684,-0.0013785763571412001,0.9989082203359276,0.9998502481746779,False
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.01892881316881293,0.7601450749423658,0.4521228587867016,0.7848760876857704,False
