parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.11605915295195303,3.3776197769638414,0.004143763007448274,0.006102914289982391,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.07733642146552064,3.546626202067967,0.0029294372351789085,0.004524227390237697,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.16043981500539667,3.7616746972335964,0.0018853700136025316,0.003004573726856624,True
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.10639377848634607,3.903790618641813,0.0014102831297357857,0.0023903103893826876,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.23709175807594568,6.559687369116129,9.044520987291286e-06,4.206753947577342e-05,True
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.17093494840163334,4.531166314722826,0.00039782334321614474,0.0007956466864322895,True
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.11117197763092691,4.308873243541018,0.0006206290330743827,0.0011878067618648473,True
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.06817111401582537,2.2996377809617576,0.036249665882340874,0.042801660285170316,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.07579358137737764,2.9838575798398805,0.009272475733371333,0.01270202155256347,True
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.0586277283283115,1.9658401196305884,0.06810828719528103,0.07609864491092852,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.023008536150497704,1.1002863638517884,0.28855216963171854,0.29671174255189564,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.05109498858729881,2.0005439714068496,0.06388062215823953,0.07157492678794346,False
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.05964994969133314,2.9531183230626237,0.009870667187097346,0.013338739442023441,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.044991745441555944,1.8532415840731908,0.08362199840053994,0.09114114267088823,False
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.06247357366915073,2.776087118225917,0.014124564760170544,0.018343590597624082,True
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.012932944045476218,0.7472056956646402,0.4664917699739671,0.4748007836885161,False
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.057587570768478986,2.7058041040346925,0.016268304903365484,0.020923864827479724,True
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.07031876028198618,4.125148108835087,0.0008992454797755783,0.0016202621257217628,True
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.08189337552192437,3.820778865570499,0.001670740057429531,0.002716650499885416,True
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.04604477101176517,2.3572975718849927,0.03241486573684078,0.03870431729772033,True
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,Visual,-3.0,-84.2,24.5,0.11743405099886903,5.41767600924587,7.127032535159452e-05,0.00022447346567431344,True
22,17Networks_LH_VisPeri_ExStrSup_3,LH,VisPeri,ExStrSup,Visual,-12.2,-71.0,20.5,0.13468766518928307,6.251572729004522,1.5510247234875654e-05,6.530630414684486e-05,True
23,17Networks_LH_VisPeri_ExStrSup_4,LH,VisPeri,ExStrSup,Visual,-16.0,-89.0,33.6,0.07687803503736264,2.566360316834314,0.021489063949351704,0.026861329936689632,True
24,17Networks_LH_VisPeri_ExStrSup_5,LH,VisPeri,ExStrSup,Visual,-12.0,-80.8,36.0,0.16456909975491674,4.688894059756984,0.00029102865931017745,0.0006467303540226165,True
25,17Networks_LH_SomMotA_1,LH,SomMotA,nan,Somatomotor,-7.9,-15.3,46.9,0.051945015676850385,1.9513812244208788,0.06994331528846959,0.0777147947649662,False
26,17Networks_LH_SomMotA_2,LH,SomMotA,nan,Somatomotor,-41.0,-14.3,48.0,0.15991879701914993,4.748157638196684,0.0002589563560805349,0.0005816325602795372,True
27,17Networks_LH_SomMotA_3,LH,SomMotA,nan,Somatomotor,-48.7,-17.4,54.2,0.09558469617206436,4.386560349681966,0.0005310134532190518,0.001041202849449121,True
28,17Networks_LH_SomMotA_4,LH,SomMotA,nan,Somatomotor,-47.3,-29.6,58.2,0.03638726883110004,1.8207668506697863,0.08864867467946247,0.09609612431378045,False
29,17Networks_LH_SomMotA_5,LH,SomMotA,nan,Somatomotor,-39.2,-24.8,52.9,0.029077435153644283,2.1434535907482974,0.04887726822561887,0.05606216293715852,False
30,17Networks_LH_SomMotA_6,LH,SomMotA,nan,Somatomotor,-8.6,-37.5,53.5,0.08242894909137065,3.9761096835875107,0.0012170626475177012,0.002089377935652706,True
31,17Networks_LH_SomMotA_7,LH,SomMotA,nan,Somatomotor,-4.3,-24.8,56.2,0.0717621765634305,4.889252469350931,0.00019642069967539663,0.0004704687417374769,True
32,17Networks_LH_SomMotA_8,LH,SomMotA,nan,Somatomotor,-3.9,-8.6,59.1,0.10454423091297932,4.3552910691665705,0.000565376126108761,0.0010925142533502628,True
33,17Networks_LH_SomMotA_9,LH,SomMotA,nan,Somatomotor,-34.5,-18.3,63.6,0.04667272300860072,2.2099209294640505,0.04307174668976401,0.04993825703161045,True
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,0.041019490269987115,2.1313094681322013,0.05001324082021436,0.05715798950881641,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,0.0553896148605398,2.944741648874184,0.010040134425583293,0.013522066566442148,True
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,0.05179208915735279,2.461967930357391,0.026412671114383002,0.03201535892652485,True
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,0.05459337332430381,3.943561857091907,0.001300462339743064,0.0022135529187115983,True
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.06458947073955232,2.6939281017046657,0.01666036135510411,0.021359437634748863,True
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,0.09802908880555077,5.328520011202234,8.435615030663326e-05,0.00024932152620239746,True
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,0.04283053370062594,2.5268646084159996,0.023238747244814114,0.028689811413350755,True
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,0.07846914766999882,4.575220711045798,0.00036446856348558703,0.0007405825040723728,True
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.03430610328335661,1.943108634876278,0.07101321063803169,0.07846763606412342,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,0.0660212053844885,3.8254218170412115,0.0016549635621230165,0.0027128285233702946,True
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,0.2711004443674384,9.923804120090308,5.525409033718837e-08,1.1632440070987026e-06,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,0.39912294879706856,15.182921241877915,1.6357626230330725e-10,3.271525246066145e-08,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,0.1365184268683572,7.061851469256312,3.861234081668961e-06,2.2383965690834558e-05,True
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,0.032498628465166164,1.537036254432482,0.14510810145732933,0.1527453699550835,False
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,0.09272750527794446,6.609365476999223,8.301381491302189e-06,3.906532466495148e-05,True
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,0.24359752297371745,11.235880566383402,1.0566636201710424e-08,3.5646448259811967e-07,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,0.2417966372883065,10.632567419935288,2.2165720307187058e-08,5.541430076796765e-07,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,0.10371366960192681,5.0431041112863575,0.0001456958030808431,0.0003733104774114366,True
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,0.05534436399214745,2.2348825977669597,0.041062177276976045,0.047885921022712594,True
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,0.13241972013433861,7.19569818913251,3.0952353419298734e-06,1.934522088706171e-05,True
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,0.08340616152445264,4.286883974822512,0.0006486999713566052,0.0012182159086509016,True
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,0.2705315866903409,7.826478803183048,1.1268883173211913e-06,9.01510653856953e-06,True
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,0.2179437942473941,6.638908944031969,7.889988272174918e-06,3.757137272464247e-05,True
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,0.3265546883023275,10.687746234390763,2.068548082915051e-08,5.516128221106803e-07,True
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,0.2995474893798136,11.225917042288554,1.069393447794359e-08,3.5646448259811967e-07,True
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,0.3120266583371315,8.825749242872885,2.516997390506344e-07,3.3559965206751253e-06,True
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,0.12388591249020336,4.89984303006269,0.00019240541434362965,0.0004636275044424811,True
61,17Networks_LH_DorsAttnA_TempOcc_2,LH,DorsAttnA,TempOcc,Dorsal attention,-32.2,-41.4,-21.0,0.0678345701161119,3.0209189578959226,0.008598429708231764,0.0118969323049299,True
62,17Networks_LH_DorsAttnA_TempOcc_3,LH,DorsAttnA,TempOcc,Dorsal attention,-48.7,-55.7,-15.5,0.1374805257422903,3.677574058723199,0.002239649565414953,0.003499452445960864,True
63,17Networks_LH_DorsAttnA_TempOcc_4,LH,DorsAttnA,TempOcc,Dorsal attention,-45.2,-70.0,-8.3,0.09268734755840723,2.584139359352848,0.020743292945081728,0.0260921923837506,True
64,17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnA,ParOcc,Dorsal attention,-47.9,-65.3,14.9,0.21725132395124208,7.588707439279826,1.6393075602123154e-06,1.1503912703244318e-05,True
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,Dorsal attention,-31.8,-84.1,27.0,0.09607368486397797,3.4125108400380553,0.003857472739856577,0.00581078176943299,True
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,Dorsal attention,-26.4,-70.1,30.4,0.07821959140610825,3.3768888671229043,0.004149981717188026,0.006102914289982391,True
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,Dorsal attention,-21.2,-78.6,44.7,0.10334844937175235,3.438088836565368,0.003660224664460997,0.005545794946153026,True
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,Dorsal attention,-22.7,-65.5,46.4,0.11603753269084532,3.8910957231635614,0.0014472801393142914,0.0024426669017962727,True
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,Dorsal attention,-28.7,-58.0,50.6,0.09133964857823774,3.8244251655034245,0.0016583373888561835,0.0027128285233702946,True
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,Dorsal attention,-35.9,-51.8,56.0,0.10945323193419149,3.6055994948898773,0.002595684163332443,0.004039975351490184,True
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,Dorsal attention,-14.9,-71.1,57.0,0.1271870369211327,4.432293959154079,0.000484559662270758,0.0009595240837044713,True
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,Dorsal attention,-28.2,-61.2,62.3,0.09486731982830997,4.147967434818164,0.0008586443789818807,0.0015683002355833438,True
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,Dorsal attention,-61.4,-23.3,32.8,0.09757092353361482,3.7938707370555806,0.0017652122977484762,0.0028356824060216486,True
74,17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-19.8,40.7,0.10068526210262768,3.9922104893975923,0.0011778329988455696,0.0020395376603386485,True
75,17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-31.3,44.4,0.1062902652976195,3.4098368649433852,0.00387869683109652,0.00581078176943299,True
76,17Networks_LH_DorsAttnB_PostC_4,LH,DorsAttnB,PostC,Dorsal attention,-46.2,-29.1,43.8,0.02906014391809605,1.35146319864679,0.19657818043580397,0.20476893795396248,False
77,17Networks_LH_DorsAttnB_PostC_5,LH,DorsAttnB,PostC,Dorsal attention,-39.0,-37.5,49.8,0.059837227330419004,2.4007313633474947,0.02978232472816508,0.03599072474702728,True
78,17Networks_LH_DorsAttnB_PostC_6,LH,DorsAttnB,PostC,Dorsal attention,-30.2,-46.3,62.7,0.06406508245569463,2.5410795309515106,0.022593875342566423,0.027980031383983188,True
79,17Networks_LH_DorsAttnB_PostC_7,LH,DorsAttnB,PostC,Dorsal attention,-7.4,-58.5,63.1,0.16838286872966002,4.596132532820116,0.00034965362701945763,0.0007322589047527909,True
80,17Networks_LH_DorsAttnB_PostC_8,LH,DorsAttnB,PostC,Dorsal attention,-19.7,-56.5,66.3,0.06439693781913357,2.521881847583501,0.02346892990330367,0.028796233010188552,True
81,17Networks_LH_DorsAttnB_PostC_9,LH,DorsAttnB,PostC,Dorsal attention,-12.9,-50.6,71.6,0.03440753904095609,1.7263903662998017,0.1048084434555558,0.11209459193107572,False
82,17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,FEF,Dorsal attention,-40.3,-2.3,51.3,0.19037682866838485,6.05523616434437,2.2021151784210615e-05,8.551903605518685e-05,True
83,17Networks_LH_DorsAttnB_FEF_2,LH,DorsAttnB,FEF,Dorsal attention,-25.7,-0.5,55.2,0.163687903344528,4.5822511130358645,0.0003594173260126971,0.000737266309769635,True
84,17Networks_LH_DorsAttnB_FEF_3,LH,DorsAttnB,FEF,Dorsal attention,-30.0,-8.0,51.7,0.12465095405046374,4.810007551747209,0.00022934284271287523,0.0005276576560339361,True
85,17Networks_LH_DorsAttnB_PrCv_1,LH,DorsAttnB,PrCv,Dorsal attention,-50.0,2.6,38.0,0.2155658061046509,6.902804047509515,5.037295335977276e-06,2.7984974088762642e-05,True
86,17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,ParOper,Salience / ventral attention,-54.6,-32.0,22.2,0.14312221849401677,6.685904949205981,7.278958769365245e-06,3.550711594812314e-05,True
87,17Networks_LH_SalVentAttnA_ParOper_2,LH,SalVentAttnA,ParOper,Salience / ventral attention,-58.0,-44.2,27.3,0.25625514208256184,9.482648584026313,1.0004991297908463e-07,1.5392294304474558e-06,True
88,17Networks_LH_SalVentAttnA_ParOper_3,LH,SalVentAttnA,ParOper,Salience / ventral attention,-61.2,-36.1,33.3,0.19196318413843186,5.309216484351059,8.750368973393703e-05,0.0002518091790904663,True
89,17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,Ins,Salience / ventral attention,-38.7,1.9,-4.6,0.053621870346995046,2.1162851004845393,0.051452351410880906,0.05863515830299818,False
90,17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,Ins,Salience / ventral attention,-39.8,-14.4,-1.7,0.08407136961439622,3.307542795545251,0.0047843344166713314,0.006933817995175843,True
91,17Networks_LH_SalVentAttnA_Ins_3,LH,SalVentAttnA,Ins,Salience / ventral attention,-33.0,19.2,8.2,0.11963506946701265,4.183579498891754,0.0007989759872219232,0.001472766796722439,True
92,17Networks_LH_SalVentAttnA_Ins_4,LH,SalVentAttnA,Ins,Salience / ventral attention,-36.5,4.4,10.7,0.08821967361144398,3.492159458008117,0.0032758132230467766,0.005001241561903476,True
93,17Networks_LH_SalVentAttnA_FrOper_1,LH,SalVentAttnA,FrOper,Salience / ventral attention,-50.5,1.5,4.4,0.032853517920316114,1.2897852490770099,0.2166571272424109,0.22451515776415634,False
94,17Networks_LH_SalVentAttnA_FrOper_2,LH,SalVentAttnA,FrOper,Salience / ventral attention,-52.1,8.7,13.3,0.14518356543737854,4.149643214164455,0.0008557373484721676,0.0015683002355833438,True
95,17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,ParMed,Salience / ventral attention,-11.0,-27.4,41.1,0.14651530783937533,4.294412773048727,0.0006389457983007748,0.001205558110001462,True
96,17Networks_LH_SalVentAttnA_ParMed_2,LH,SalVentAttnA,ParMed,Salience / ventral attention,-12.6,-41.5,47.3,0.13249234965944245,5.040169887722399,0.00014652436238398887,0.0003733104774114366,True
97,17Networks_LH_SalVentAttnA_ParMed_3,LH,SalVentAttnA,ParMed,Salience / ventral attention,-5.8,-49.1,57.0,0.1538533082709147,4.592586744763544,0.00035212142707898123,0.0007335863064145443,True
98,17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,FrMed,Salience / ventral attention,-6.5,0.8,40.5,0.04879859525772037,2.07399002359244,0.055710865859300865,0.0633078021128419,False
99,17Networks_LH_SalVentAttnA_FrMed_2,LH,SalVentAttnA,FrMed,Salience / ventral attention,-5.3,9.3,48.4,0.20608258302334206,5.508270467604634,6.01150621548388e-05,0.00019391955533818966,True
100,17Networks_LH_SalVentAttnA_FrMed_3,LH,SalVentAttnA,FrMed,Salience / ventral attention,-8.5,-2.7,70.9,0.15231886365577055,5.134947982343136,0.00012206514513809698,0.00032990579767053235,True
101,17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,PFCl,Salience / ventral attention,-38.2,49.1,11.0,0.1564735928783114,5.217588721332551,0.00010419043903550468,0.0002916672657707044,True
102,17Networks_LH_SalVentAttnB_PFCl_2,LH,SalVentAttnB,PFCl,Salience / ventral attention,-28.9,43.3,29.5,0.18372216897880722,5.074138597525562,0.000137222935389699,0.0003541844553338579,True
103,17Networks_LH_SalVentAttnB_PFCl_3,LH,SalVentAttnB,PFCl,Salience / ventral attention,-35.9,32.0,38.5,0.12057475557962047,4.652200586889007,0.0003129074426040681,0.0006839506942165423,True
104,17Networks_LH_SalVentAttnB_Ins_1,LH,SalVentAttnB,Ins,Salience / ventral attention,-33.4,16.5,-8.3,0.084521407409225,2.8586429438675016,0.011955567236728344,0.015887796992330026,True
105,17Networks_LH_SalVentAttnB_Ins_2,LH,SalVentAttnB,Ins,Salience / ventral attention,-32.9,24.6,-0.8,0.13548243529162746,4.745564663618695,0.0002602805707250929,0.0005816325602795372,True
106,17Networks_LH_SalVentAttnB_Ins_3,LH,SalVentAttnB,Ins,Salience / ventral attention,-43.3,11.9,2.3,0.14333744521240352,4.5868133613781925,0.0003561779066195363,0.0007350717648474725,True
107,17Networks_LH_SalVentAttnB_OFC_1,LH,SalVentAttnB,OFC,Salience / ventral attention,-27.1,49.3,-13.7,0.12192614007387524,4.374750907548424,0.0005437329504863271,0.0010609423424123455,True
108,17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnB,PFCmp,Salience / ventral attention,-6.0,21.8,31.1,0.13114118947149017,3.855945515831788,0.0015549287663633338,0.0025915479439388898,True
109,17Networks_LH_LimbicB_OFC_1,LH,LimbicB,OFC,Limbic,-12.4,24.3,-20.5,0.005614736655137196,0.3550794092970752,0.7274734023745325,0.7292966439844937,False
110,17Networks_LH_LimbicB_OFC_2,LH,LimbicB,OFC,Limbic,-23.6,22.4,-19.7,0.13217035449921938,5.126066563386754,0.0001241663378343859,0.00033111023422502904,True
111,17Networks_LH_LimbicB_OFC_3,LH,LimbicB,OFC,Limbic,-10.6,47.3,-21.3,-0.017503348295572728,-0.6694968630290208,0.5133528308066216,0.5211703866057072,False
112,17Networks_LH_LimbicB_OFC_4,LH,LimbicB,OFC,Limbic,-3.9,23.3,-18.9,0.07926453771318241,2.6117260966608717,0.01963506518012604,0.025012821885510877,True
113,17Networks_LH_LimbicB_OFC_5,LH,LimbicB,OFC,Limbic,-15.4,64.3,-8.5,0.23419178053023307,3.9830834946995815,0.0011999107209424787,0.00206881158783186,True
