parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.07538127536822722,2.9949422945476316,0.007770392398803634,0.010465174947883684,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.05418748307558757,3.2886048134527877,0.004082698039151086,0.0058533305220804105,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.11139974012917356,2.6531514861493153,0.01618073924761113,0.020811240189853544,True
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.05830335552012183,2.140827021228575,0.04622672979301788,0.05406635063510863,False
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.14453695433178665,2.8705782623179963,0.010170926298736786,0.013426965410873645,True
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.12939361287674686,4.796497067863437,0.00014449842058126766,0.000305816763134958,True
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.08362366657022206,2.351742781449801,0.030272742366461988,0.036694233171469075,True
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.05953884099919505,3.6634545733132375,0.0017775863903561524,0.0027993486462301615,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.06695346144370772,2.572118344549957,0.019190317666410293,0.0243686573541718,True
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.07519642330035124,3.0720832398986957,0.006568112010084413,0.009059464841495743,True
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.06689490504552642,2.4601655730616026,0.024228923995703498,0.029912251846547527,True
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.054755139624736215,2.5467561486191395,0.02023652642588532,0.025454750221239397,True
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.029023012170041638,1.5072594899595053,0.14909414887376418,0.1625004347397975,False
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.03343815114146638,1.6098639507710635,0.12482465767779935,0.13716995349208722,False
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.028844753212221713,1.317374964015971,0.20423677234771198,0.21669684068722758,False
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,-0.006892470119475637,-0.44999003282531713,0.6580899055709472,0.6613968900210524,False
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.02266212481838978,1.1076478700631582,0.2825963147679293,0.294371161216593,False
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.03543677104866435,1.708699189696303,0.10469253819369541,0.11632504243743935,False
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.044393968962485604,1.9043036129546846,0.07298002950841974,0.08269691728999404,False
20,17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeri,ExStrSup,Visual,-18.9,-64.2,7.0,0.0416789414094821,2.31411231751872,0.03268028443585672,0.03925559691994802,True
21,17Networks_LH_VisPeri_ExStrSup_2,LH,VisPeri,ExStrSup,Visual,-3.0,-84.2,24.5,0.07646507280152945,2.525304739027758,0.02116328660134405,0.026537036490713546,True
22,17Networks_LH_VisPeri_ExStrSup_3,LH,VisPeri,ExStrSup,Visual,-12.2,-71.0,20.5,0.06144038458685808,3.2136363681949796,0.004815893972301987,0.006806917275338498,True
23,17Networks_LH_VisPeri_ExStrSup_4,LH,VisPeri,ExStrSup,Visual,-16.0,-89.0,33.6,0.02363706369901149,0.9602950523002011,0.3496297382191938,0.35951644032821983,False
24,17Networks_LH_VisPeri_ExStrSup_5,LH,VisPeri,ExStrSup,Visual,-12.0,-80.8,36.0,0.10901738591487256,3.376965808151547,0.0033584845664520503,0.00492161098411522,True
25,17Networks_LH_SomMotA_1,LH,SomMotA,nan,Somatomotor,-7.9,-15.3,46.9,0.06466172413140789,3.277816841273603,0.004181022697711475,0.00597288956815925,True
26,17Networks_LH_SomMotA_2,LH,SomMotA,nan,Somatomotor,-41.0,-14.3,48.0,0.10550855298965761,3.0173768981669555,0.0074002644060095915,0.010000357305418367,True
27,17Networks_LH_SomMotA_3,LH,SomMotA,nan,Somatomotor,-48.7,-17.4,54.2,0.05363664808610307,1.9782111572273913,0.06341802156600523,0.07289427766207497,False
28,17Networks_LH_SomMotA_4,LH,SomMotA,nan,Somatomotor,-47.3,-29.6,58.2,0.08029300538381602,3.477094230481958,0.0026900885773907556,0.004075891783925387,True
29,17Networks_LH_SomMotA_5,LH,SomMotA,nan,Somatomotor,-39.2,-24.8,52.9,0.036713393392855814,1.6728929306132927,0.11163881199133896,0.12369951467184373,False
30,17Networks_LH_SomMotA_6,LH,SomMotA,nan,Somatomotor,-8.6,-37.5,53.5,0.12301401651171288,5.127068102414176,7.057595468686863e-05,0.0001650899524839032,True
31,17Networks_LH_SomMotA_7,LH,SomMotA,nan,Somatomotor,-4.3,-24.8,56.2,0.06944487394432187,4.197946155758447,0.0005406799244391412,0.0009875432409847326,True
32,17Networks_LH_SomMotA_8,LH,SomMotA,nan,Somatomotor,-3.9,-8.6,59.1,0.05040911623112627,1.442410654488575,0.16636190247571517,0.17985070537915154,False
33,17Networks_LH_SomMotA_9,LH,SomMotA,nan,Somatomotor,-34.5,-18.3,63.6,0.043116776970695395,2.1647533972570763,0.044090829061223615,0.05171944757914794,False
