network,n_parcels,n_sig_FDR,pct_sig_FDR,mean_t_FDR_sig
VisCent,24,7,29.166666666666668,2.86432405071189
VisPeri,23,22,95.65217391304348,3.914919168064166
SomMotA,39,1,2.5641025641025643,3.396218889519005
SomMotB,31,8,25.806451612903224,4.493911315116084
DorsAttnA,27,16,59.25925925925926,3.391959950637604
DorsAttnB,25,11,44.0,3.079045493597901
SalVentAttnA,34,32,94.11764705882354,4.23100334898615
SalVentAttnB,17,17,100.0,5.839877068631579
LimbicA,13,0,0.0,
LimbicB,11,4,36.36363636363637,3.0776403787886983
ContA,24,23,95.83333333333333,4.403520255623518
ContB,25,19,76.0,4.503777316136703
ContC,12,11,91.66666666666667,5.500772829738056
DefaultA,34,14,41.1764705882353,3.543310344700028
DefaultB,32,12,37.5,-1.8709079700574536
DefaultC,13,1,7.6923076923076925,2.6284752868648087
TempPar,16,6,37.5,6.399738298809222
