network,n_parcels,n_sig_FDR,pct_sig_FDR,mean_t_FDR_sig
VisCent,24,0,0.0,
VisPeri,23,7,30.434782608695652,2.959920994428047
SomMotA,39,0,0.0,
SomMotB,31,25,80.64516129032258,-8.912533719843124
DorsAttnA,27,5,18.51851851851852,3.162115210937791
DorsAttnB,25,1,4.0,3.3682849692711487
SalVentAttnA,34,14,41.1764705882353,1.428477977573986
SalVentAttnB,17,16,94.11764705882354,4.4929029160628975
LimbicA,13,2,15.384615384615385,-3.7419932842467056
LimbicB,11,3,27.272727272727273,3.0634396821638123
ContA,24,14,58.333333333333336,3.986570467422073
ContB,25,12,48.0,4.82293274121277
ContC,12,9,75.0,4.381723153648674
DefaultA,34,11,32.35294117647059,3.7964693367200226
DefaultB,32,9,28.125,-3.722452407014729
DefaultC,13,0,0.0,
TempPar,16,13,81.25,-7.774023242759002
