parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.17807262329797646,4.006783331729283,0.0008272370211596866,0.002134805215895965,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.17242036915458792,3.7056361082435796,0.0016182181282118854,0.003741544805114186,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.07846553767450311,2.3852944839673538,0.028266473891043847,0.04172173268050752,True
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.11677952053399886,2.774734808447672,0.012494494366160448,0.02065205680357099,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.06728397934151861,2.253707648903996,0.036919131078199295,0.05199877616647788,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.11276787376019695,3.8290104535913905,0.0012292912652519493,0.002998271378663291,True
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.08361566778053944,2.93168772971832,0.008913279624752631,0.01584613049136915,True
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.1429335370272457,4.106673310139221,0.0006623147269383846,0.0017900398025361744,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.09879450969897988,3.365864981212693,0.003442002182058794,0.006988836917885875,True
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.12411563080715393,4.143778701624274,0.0006098516263386768,0.0016708263735306212,True
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.1305011686138284,3.3481428981426316,0.00357959604628978,0.007231507164221778,True
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.1654642847729726,4.068116378307916,0.0007216480463062578,0.001874410509886384,True
