parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.1542326640314542,2.8743221707947395,0.010089184268960612,0.023879726080380147,True
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.21329599723651996,3.612482373478441,0.0019911314123237252,0.006199673575933443,True
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.10824455920054742,2.0789927285908028,0.05219080866940889,0.09297202613118362,False
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.12670589630379178,2.4974534993243718,0.02242639679374048,0.04485279358748096,True
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.04744961750365736,0.9258833773788815,0.3667546889334868,0.48255354046536625,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.05890173318210503,1.0911808156548175,0.28958481940017156,0.3966915334248925,False
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.11926954764606623,2.094058800741012,0.05067650913965519,0.09089956796350708,False
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.13173746928145547,2.439989838128438,0.025260146173737372,0.049529698379877196,True
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.07330034207177268,1.4400053732044678,0.16703257534879484,0.24745566718339976,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.0954243110365785,1.8919310150321356,0.07470036135927431,0.1250215252874884,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.14153076648391094,2.336367388880264,0.031235782333913435,0.059496728255073204,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.17703768497632047,2.8487002984587706,0.010661516123779725,0.02479422354367378,True
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.1903098990868886,3.636693655819627,0.0018866942906459348,0.0060374217300669915,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.23451917983616535,3.9343878012367823,0.0009720075948145034,0.0036336732516430033,True
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.26800249750042626,3.9098348417340936,0.0010266679119129245,0.0037675886675703654,True
16,17Networks_LH_VisPeri_ExStrInf_4,LH,VisPeri,ExStrInf,Visual,-13.4,-42.9,-5.4,0.1597125117198074,3.298032943780007,0.003998630751537959,0.01059239934182241,True
17,17Networks_LH_VisPeri_ExStrInf_5,LH,VisPeri,ExStrInf,Visual,-14.1,-56.9,1.3,0.19679735172005433,3.404474625061555,0.0031600359350336614,0.009028674100096177,True
18,17Networks_LH_VisPeri_StriCal_1,LH,VisPeri,StriCal,Visual,-4.6,-88.4,1.8,0.25569851615568323,3.6071500164325014,0.0020148939121783687,0.006199673575933443,True
19,17Networks_LH_VisPeri_StriCal_2,LH,VisPeri,StriCal,Visual,-7.4,-74.2,9.5,0.297526376190965,4.64691303685902,0.0002004839969557674,0.001083697280841986,True
