parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
1,17Networks_LH_VisCent_ExStr_1,LH,VisCent,ExStr,Visual,-35.4,-62.0,-17.1,0.08897589036294098,1.4528529261269203,0.16347567708921756,0.2690213128053161,False
2,17Networks_LH_VisCent_ExStr_2,LH,VisCent,ExStr,Visual,-23.4,-72.7,-10.3,0.0730676527605526,1.0865057470969641,0.2915917224268967,0.4272406189405079,False
3,17Networks_LH_VisCent_ExStr_3,LH,VisCent,ExStr,Visual,-36.4,-81.4,-16.0,0.07750272468777474,1.2690356162610317,0.22059334667119035,0.3342323434411975,False
4,17Networks_LH_VisCent_ExStr_4,LH,VisCent,ExStr,Visual,-17.0,-86.4,-15.0,0.08913670682460755,1.6532926574329445,0.11560566288525041,0.20924101879683332,False
5,17Networks_LH_VisCent_ExStr_5,LH,VisCent,ExStr,Visual,-24.4,-96.7,-11.9,0.07654371628351236,1.5504455928342358,0.1384383974485148,0.23972016874201696,False
6,17Networks_LH_VisCent_ExStr_6,LH,VisCent,ExStr,Visual,-41.6,-86.4,-3.3,0.10287158008923773,1.996449445701919,0.06123796342714962,0.12691805891637226,False
7,17Networks_LH_VisCent_Striate_1,LH,VisCent,Striate,Visual,-7.4,-97.3,-7.2,0.06650566229249855,1.023792607738601,0.3194963924639253,0.4547991351799649,False
8,17Networks_LH_VisCent_ExStr_7,LH,VisCent,ExStr,Visual,-46.1,-73.1,6.1,0.12614451544644523,2.0648760594123163,0.053646794121116906,0.11604776639779203,False
9,17Networks_LH_VisCent_ExStr_8,LH,VisCent,ExStr,Visual,-24.4,-95.9,5.9,0.07544930348195945,1.2312807496133396,0.23406358315991185,0.3519753130224238,False
10,17Networks_LH_VisCent_ExStr_9,LH,VisCent,ExStr,Visual,-39.4,-83.7,14.1,0.12711717554376553,2.2855749237457212,0.034623303199390824,0.08146659576327253,False
11,17Networks_LH_VisCent_ExStr_10,LH,VisCent,ExStr,Visual,-10.9,-96.5,17.2,0.10501421366943649,1.526847227092223,0.14417957247435487,0.24646080764846984,False
12,17Networks_LH_VisCent_ExStr_11,LH,VisCent,ExStr,Visual,-24.9,-84.7,21.9,0.14410017086245142,2.052897996652579,0.054910935005377456,0.11745654546604804,False
13,17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeri,ExStrInf,Visual,-24.5,-54.5,-8.2,0.13792951337328369,2.6224631045145657,0.01726351773170233,0.04897451838780803,True
14,17Networks_LH_VisPeri_ExStrInf_2,LH,VisPeri,ExStrInf,Visual,-12.2,-61.2,-4.7,0.13778246798519503,2.5939520474437106,0.018330897908985788,0.05127523890625395,False
15,17Networks_LH_VisPeri_ExStrInf_3,LH,VisPeri,ExStrInf,Visual,-6.7,-75.8,-5.7,0.1477658253642886,2.2714583212549115,0.03562351662635818,0.08284538750315856,False
