roi,condition,n,per_subj_mean,per_subj_sd,se_group_mean,ci_lo_group_mean,ci_hi_group_mean,t,df,p_t,cohens_d,p_perm,passes
A1+,IP-IP,19,-0.0010300415030999952,0.002751648784423257,0.0006312715252325007,-0.002356293763837533,0.0002962107576375422,-1.6316932760758145,18,0.120115682698343,-0.3743361103825941,0.0058994100589941,True
A1+,SP-SP,19,0.0006622353087058344,0.003400421500212806,0.0007801101939405574,-0.0009767153915605934,0.0023011860089722624,0.8488996988498462,18,0.4070856208214001,0.19475094739413637,0.10648935106489352,False
A1+,IT-IT,19,-0.0007224684673677338,0.002903772243654931,0.0006661710402710636,-0.0021220418884435118,0.0006771049537080441,-1.0845089679577826,18,0.2924519799296512,-0.24880342077324027,0.1583841615838416,False
A1+,IT-IP,19,-0.0024793272304416444,0.0026550915010922138,0.0006091197652165616,-0.0037590403703315653,-0.0011996140905517236,-4.070344408476326,18,0.0007180783278372763,-0.933801049576534,9.999000099990002e-05,True
mSTG,IP-IP,19,-1.0205973843306275e-06,0.00401778793197027,0.0009217437669492461,-0.0019375323928228008,0.0019354911980541396,-0.0011072463095775124,18,0.9991287246385753,-0.00025401972468719623,0.9983001699830018,False
mSTG,SP-SP,19,0.00137824014767138,0.004523551122686343,0.0010377738005120907,-0.0008020417026091777,0.003558521997951938,1.3280737545997843,18,0.20074912429495648,0.30468101504574185,0.016698330166983303,False
mSTG,IT-IT,19,-0.002013933874828526,0.00224782585352961,0.0005156866178007173,-0.0030973512560234094,-0.0009305164936336424,-3.9053444578753704,18,0.0010369925752562175,-0.8959474648208093,0.0020997900209979003,True
mSTG,IT-IP,19,-0.0020206994531219886,0.003807178513099054,0.0008734266525588536,-0.003855700758016836,-0.00018569814822714148,-2.313530789565445,18,0.03271884817868639,-0.5307603639202969,0.00019998000199980003,True
dlPFC,IP-IP,19,-0.0005300782624214402,0.0037671722765082747,0.0008642485924319806,-0.0023457971785090822,0.0012856406536662021,-0.6133400355675548,18,0.5473243977785015,-0.14070985437192704,0.3200679932006799,False
dlPFC,SP-SP,19,-9.452873270169116e-05,0.003934837360211619,0.0009027136006542525,-0.001991059632341557,0.001802002166938175,-0.10471619418737053,18,0.9177590476146158,-0.02402354253762786,0.8647135286471352,False
dlPFC,IT-IT,19,-0.0023499064641540387,0.0023700465331491015,0.0005437259647097818,-0.00349223232726414,-0.0012075806010439373,-4.321858098883177,18,0.0004107090106555418,-0.9915022474397148,0.00019998000199980003,True
dlPFC,IT-IP,19,-0.0018224020563624736,0.003620455230205853,0.0008305893935831893,-0.0035674056197318345,-7.73984929931127e-05,-2.1941070647441965,18,0.04159394472422175,-0.5033626824488739,0.00029997000299970003,True
AG,IP-IP,19,-0.0023418605694586142,0.003680942832763473,0.0008444662013140167,-0.004116018224037858,-0.000567702914879371,-2.773184487211689,18,0.012535978667860177,-0.6362121542921271,0.0017998200179982,True
AG,SP-SP,19,-0.0003230492900544166,0.00374179922420705,0.000858427615017759,-0.0021265387863967753,0.001480440206287942,-0.37632676815474225,18,0.7110730723571121,-0.08633528169135694,0.6984301569843016,False
AG,IT-IT,19,-0.0007910848612655786,0.003687269961605265,0.0008459177442205499,-0.002568292094329513,0.0009861223717983559,-0.9351794151031837,18,0.3620734170757542,-0.2145448718165396,0.32696730326967305,False
AG,IT-IP,19,-0.0018860015956559946,0.004443629769415846,0.0010194385845996115,-0.004027762586713446,0.00025575939540145717,-1.850039447346138,18,0.08079456280655686,-0.42442815750240276,0.012598740125987402,True
PCC,IP-IP,19,-0.000939784016950861,0.0038393337676142897,0.000880803573871261,-0.0027902836584200686,0.0009107156245183469,-1.0669620842026923,18,0.30009114262343073,-0.2447778895594248,0.1877812218778122,False
PCC,SP-SP,19,0.0004605809999416292,0.005017522769971411,0.0011510986684852452,-0.0019577875631711346,0.0028789495630543926,0.4001229543143486,18,0.693774619073066,0.09179450120248353,0.5529447055294471,False
PCC,IT-IT,19,-0.0011844225922295482,0.004323164965522418,0.0009918020632088272,-0.003268121406381509,0.0008992762219224122,-1.1942126722317212,18,0.24789535862008663,-0.273971176597565,0.14528547145285473,False
PCC,IT-IP,19,-0.0011247196636460306,0.004552765837343133,0.0010444761157148972,-0.003319082555656807,0.0010696432283647458,-1.0768265992144876,18,0.29577895652341657,-0.24704096451013297,0.10108989101089891,False
dmPFC,IP-IP,19,-0.00043786860972567663,0.0031221004589945542,0.0007162589680178533,-0.0019426728621546856,0.0010669356427033322,-0.6113272283869853,18,0.5486265239869162,-0.14024808473545675,0.5354464553544646,False
dmPFC,SP-SP,19,-0.00045203751413104137,0.003173281920766984,0.0007280008006309434,-0.0019815104414897125,0.0010774354132276297,-0.6209299684001305,18,0.5424292812544969,-0.14245110438274064,0.5572442755724427,False
dmPFC,IT-IT,19,-0.0002738147260924167,0.0027665130071589093,0.0006346816117998158,-0.0016072313128583564,0.001059601860673523,-0.43142060680778044,18,0.6712853962351503,-0.09897467511769002,0.6106389361063893,False
dmPFC,IT-IP,19,-0.0004077043633692635,0.003518519074887168,0.0008072036357028097,-0.002103576272579994,0.001288167545841467,-0.50508241704621,18,0.6196289996610841,-0.1158738533717734,0.5328467153284672,False
vmPFC,IP-IP,19,0.0009260871603314405,0.0029098411871310986,0.0006675633513924676,-0.00047641139786616746,0.0023285857185290485,1.3872648317192955,18,0.18229943414625105,0.31826037944170354,0.3675632436756324,False
vmPFC,SP-SP,19,0.00023038489067629022,0.0037491978039564076,0.0008601249656205578,-0.001576670606957505,0.002037440388310085,0.26785048671395495,18,0.7918596476864872,0.06144911597706914,0.7848215178482152,False
vmPFC,IT-IT,19,-0.0007061923290223648,0.003919042021908829,0.0008990899015257842,-0.0025951101192960295,0.0011827254612512997,-0.7854524089570285,18,0.44240516037848776,-0.1801951408212773,0.43375662433756623,False
