roi,condition,n,theta_z,se_group_mean_z,ci_lo,ci_hi,sign_flip_p,direction,mean_r_raw,mean_r_back_tx,ci_boot_lo,ci_boot_hi,passes
A1+,IP-IP,19,0.33727098375970477,0.021632972783661567,0.2948703571037281,0.3796716104156814,9.999000099990002e-05,greater,0.3206276197734363,0.3250388689757782,0.32163568895397737,0.35101156361408087,True
A1+,SP-SP,19,0.29713351007342326,0.01658638662094059,0.2646241922963797,0.32964282785046684,9.999000099990002e-05,greater,0.28574182928323744,0.2886871964202202,0.2849488311514195,0.3098890251889575,True
A1+,IT-IT,19,0.14051547779049944,0.009424363028351316,0.12204372625493086,0.158987229326068,9.999000099990002e-05,greater,0.1384945235081724,0.1395979165837139,0.11749430769475072,0.16512819793007677,True
A1+,IT-IP,19,-0.11317294134220875,0.010862265521123857,-0.13446298176361152,-0.09188290092080599,1.0,greater,-0.11161805389940653,-0.11269222667543763,-0.13577405133397383,-0.08934222147934404,False
mSTG,IP-IP,19,0.2776512640097919,0.02465463826242106,0.2293281730154466,0.3259743550041372,9.999000099990002e-05,greater,0.26579462478598653,0.27072988154956973,0.2562472700265396,0.29947709878514506,True
mSTG,SP-SP,19,0.25952335086858425,0.015590365729617967,0.22896623403853303,0.29008046769863544,9.999000099990002e-05,greater,0.2504177217748717,0.25384965258033654,0.23766926703558114,0.28215531831946616,True
mSTG,IT-IT,19,0.18994634156217394,0.011741430491905803,0.16693313779803856,0.2129595453263093,9.999000099990002e-05,greater,0.18584624695650076,0.1876944382958346,0.16791623493584393,0.2108507120747927,True
mSTG,IT-IP,19,-0.12733780484314475,0.01079920028101962,-0.1485042373939432,-0.1061713722923463,1.0,greater,-0.1252079004702136,-0.1266539824573588,-0.14995997867759245,-0.10509666494633534,False
dlPFC,IP-IP,19,0.11621244430609208,0.011786656626390234,0.09311059731836722,0.13931429129381695,9.999000099990002e-05,greater,0.11477130116776924,0.115692092578774,0.1049187723037349,0.1279845274267743,True
dlPFC,SP-SP,19,0.15196516884146397,0.015078427638424693,0.12241145067015156,0.18151888701277635,9.999000099990002e-05,greater,0.14895053407067607,0.150806076512201,0.13174788809357912,0.17385232614758364,True
dlPFC,IT-IT,19,0.14627675294677905,0.009415516524807635,0.12782234055815608,0.16473116533540202,9.999000099990002e-05,greater,0.1442883260682581,0.1452423164127999,0.1367985724507266,0.15687434544180656,True
dlPFC,IT-IP,19,0.014114970228504609,0.009322942364971729,-0.004157996806839981,0.0323879372638492,0.071992800719928,greater,0.013941290025709225,0.014114032916809509,-0.00974469098004758,0.036456117000121795,False
AG,IP-IP,19,0.13442554899411063,0.013215075152588391,0.10852400169503738,0.16032709629318387,9.999000099990002e-05,greater,0.13035939504711508,0.13362165896859518,0.10690178897013675,0.1631337703221252,True
AG,SP-SP,19,0.10113536662835672,0.015005393997401445,0.07172479439344989,0.13054593886326354,0.00019998000199980003,greater,0.09893459439908418,0.10079195518143882,0.07790136515425954,0.12466866597681124,True
AG,IT-IT,19,0.13256134005854772,0.013820817264483195,0.10547253822016066,0.15965014189693477,9.999000099990002e-05,greater,0.12977951076556357,0.1317902809409665,0.10490629166915279,0.1595493709295045,True
