roi,condition,n,mean_match,mean_mismatch,mean_diff,sd_diff,t,df,p_paired,p_perm,ci_lo,ci_hi,cohens_d,passes
A1+,IP-IP,19,0.3206276197734363,0.3182621761109712,0.002365443662465036,0.006601715696273489,1.5618257973671885,18,0.13573873756121121,0.3565643435656434,-0.0004694896819442236,0.005338901024090267,0.3583074114809689,False
A1+,SP-SP,19,0.28574182928323744,0.2829236939755767,0.0028181353076606676,0.004954942656434272,2.479134041917787,18,0.02329559519352828,0.32026797320267975,0.0007027422314938999,0.005030292628648147,0.5687523555900612,False
A1+,IT-IT,19,0.1384945235081724,0.07995481082923712,0.058539712678935284,0.016639117248593113,15.33547050237661,18,8.897773009415866e-12,9.999000099990002e-05,0.05072140408531117,0.06559194089963497,3.5181982195530828,True
A1+,IT-IP,19,-0.11161805389940653,-0.11323319189439966,0.0016151379949931423,0.0046222521477746106,1.5231153721108732,18,0.14510537767745665,0.4096590340965903,-0.00034272281477388394,0.0036541311934785293,0.3494266308623498,False
mSTG,IP-IP,19,0.26579462478598653,0.2611403269969137,0.00465429778907283,0.009257296243984303,2.1915268973807347,18,0.04180810510501208,0.25137486251374863,0.00030460431869338417,0.008436998430232318,0.5027707514596765,False
mSTG,SP-SP,19,0.2504177217748717,0.2457637642352881,0.004653957539583605,0.006436620469026778,3.15167418992492,18,0.005518037079396672,0.2663733626637336,0.0018618876670809948,0.0074045400592999125,0.7230436472025337,False
mSTG,IT-IT,19,0.18584624695650076,0.11576659562296383,0.07007965133353693,0.019078447497945742,16.011267069521466,18,4.305793091591095e-12,9.999000099990002e-05,0.06139113421634895,0.07804870385538062,3.673236584951826,True
mSTG,IT-IP,19,-0.1252079004702136,-0.1319273299440297,0.006719429473816113,0.008673941173510348,3.3767019453695135,18,0.003360446375000904,0.17598240175982402,0.0031649090246609625,0.010723915143164123,0.7746685548591007,False
dlPFC,IP-IP,19,0.11477130116776924,0.11061137185493626,0.004159929312832972,0.011000982602342694,1.6482810801873373,18,0.11663903742322634,0.24787521247875213,-0.0007925078455297174,0.008941812609435747,0.37814161363614024,False
dlPFC,SP-SP,19,0.14895053407067607,0.1411893282418336,0.007761205828842466,0.008306375803830833,4.0728125823949455,18,0.0007141445730505963,0.1376862313768623,0.004366167439184231,0.011570409971656925,0.9343672875073942,False
