parcel_id,hemi,network,system,x,y,z,scheme,slope,t,p_perm,p_FDR
221,RH,VisPeri,Visual,5.0,-80.0,23.3,IP-IP,-0.0041048484191582,-4.426174693590037,0.0003999600039996,0.03999600039996
22,LH,VisPeri,Visual,-12.2,-71.0,20.5,IP-IP,-0.0043051561825106,-3.7612012225562217,9.999000099990002e-05,0.019998000199980003
145,LH,ContC,Frontoparietal control,-9.1,-77.1,45.3,IP-IP,-0.0056350273051682,-3.462869724180396,9.999000099990002e-05,0.019998000199980003
385,RH,DefaultC,Default mode,48.4,-64.1,21.7,IP-IP,-0.0033682228811101,-2.800118433359448,0.0001999800019998,0.02666400026664
354,RH,ContC,Frontoparietal control,7.2,-49.6,44.4,IP-IP,-0.003892683211518,-2.334068043047496,0.0004999500049995,0.03999600039996
188,LH,DefaultC,Default mode,-40.4,-78.5,30.2,IT-IP,-0.0058156923953375,-5.031365152813872,9.999000099990002e-05,0.0057137143428514295
342,RH,ContB,Frontoparietal control,39.0,33.4,38.0,IT-IP,-0.0038855186980274,-4.6408883475746885,0.0004999500049995,0.0111100001111
86,LH,SalVentAttnA,Salience / ventral attention,-54.6,-32.0,22.2,IT-IP,-0.002710990604872,-3.666153125191262,0.0001999800019998,0.00666600006666
346,RH,ContB,Frontoparietal control,35.1,37.7,-13.7,IT-IP,-0.0038209130814496,-3.648085586292172,0.0002999700029997,0.007499250074992499
191,LH,DefaultC,Default mode,-13.0,-60.7,18.6,IT-IP,-0.0034880575991696,-3.5728030260643444,0.0006999300069993,0.013998600139986
254,RH,SomMotB,Somatomotor,49.0,-21.3,18.5,IT-IP,-0.0029813375593093,-3.566592648658781,9.999000099990002e-05,0.0057137143428514295
187,LH,DefaultB,Default mode,-53.0,19.2,11.5,IT-IP,-0.0026981200978746,-3.514461133419161,0.0002999700029997,0.007499250074992499
398,RH,TempPar,Temporoparietal,64.4,-34.4,10.5,IT-IP,-0.0026422820865119,-3.2925500762664357,0.0001999800019998,0.00666600006666
45,LH,SomMotB,Somatomotor,-55.9,-21.4,7.7,IT-IP,-0.0024320566928885,-3.2717835532809096,9.999000099990002e-05,0.0057137143428514295
397,RH,TempPar,Temporoparietal,52.0,-40.9,12.2,IT-IP,-0.0036793265882831,-3.180982056647974,9.999000099990002e-05,0.0057137143428514295
21,LH,VisPeri,Visual,-3.0,-84.2,24.5,IT-IP,-0.0031865332731708,-3.044726586418362,0.0001999800019998,0.00666600006666
251,RH,SomMotB,Somatomotor,41.5,-28.9,18.0,IT-IP,-0.0035253223629161,-3.012165544992239,9.999000099990002e-05,0.0057137143428514295
48,LH,SomMotB,Somatomotor,-35.7,-26.3,18.9,IT-IP,-0.0026349070230756,-2.8340557061695413,9.999000099990002e-05,0.0057137143428514295
