family,condition,n,n_epochs,mean_match,sd_match,se_match,mean_mismatch,sd_mismatch,se_mismatch,selectivity,ci_lo,ci_hi,tested_direction,perm_p_expected_direction,paired_t,df,cohens_dz
story-story,IP-IP,19,11,0.24879178158567827,0.08438583876095303,0.019359439127626932,0.03190375505032322,0.024237922555273975,0.00556056079051602,0.21688802653535502,0.17883268458590149,0.25152570725154844,selectivity>0,9.999000099990002e-05,11.403676639864917,18,2.6161828451571916
story-story,SP-SP,19,11,0.17350852128080696,0.1110089169736837,0.025467192153693904,0.05468087242456989,0.034969636763147426,0.008022584881204442,0.1188276488562371,0.06792625813890234,0.16516755150656154,selectivity>0,9.999000099990002e-05,4.583624266030923,18,1.0515555247783992
story-story,IT-IT,19,11,0.2636235797008496,0.15924929504062707,0.03653429389011507,0.03986141999466058,0.037666257914068746,0.008641232201513936,0.22376215970618907,0.15332294400300256,0.2878098583527839,selectivity>0,9.999000099990002e-05,6.311853295612378,18,1.4480384558962374
story-story,IP-IT,19,11,0.24136032885268408,0.0862998489320015,0.01979854317565374,0.01818751720492855,0.03325588431588621,0.007629423105843539,0.22317281164775551,0.18228853843526047,0.2580618465992435,selectivity>0,9.999000099990002e-05,11.350591658598443,18,2.6040043152224386
story-story,IT-IP,19,11,0.23444601860035705,0.13712441263388575,0.03145849775597263,0.017232533058675534,0.023005844472044446,0.005277902692866082,0.21721348554168157,0.15696508418704103,0.273198463420584,selectivity>0,9.999000099990002e-05,7.034014938322319,18,1.6137136991317091
story-int,IP-IP,19,11,-0.1108145544688052,0.07688995847333338,0.017639766250436794,-0.08346345691726482,0.039560643859099846,0.009075834143327324,-0.027351097551540388,-0.05411320365965675,0.0006882987146358318,selectivity<0,0.07129287071292871,-1.8855703555570766,18,-0.43257950688470287
story-int,SP-SP,19,11,-0.12578781323796653,0.0871682191792508,0.019997760973197796,-0.08104121434188434,0.046511006378560406,0.010670356661395814,-0.04474659889608221,-0.07534366113121477,-0.013580469727641745,selectivity<0,0.0112988701129887,-2.762937892171377,18,-0.6338614241712796
story-int,IT-IT,19,11,-0.1443833657124213,0.0702466373049883,0.016115683849263072,-0.05273054366283746,0.04290425293616661,0.009842910673518867,-0.09165282204958383,-0.12231887350979985,-0.05821607230871396,selectivity<0,9.999000099990002e-05,-5.4698039758804216,18,-1.2548590932547234
story-int,IP-IT,19,11,-0.10008718847561587,0.0791267567563246,0.01815292297004964,-0.02099016112213105,0.04482330636348277,0.010283171723883421,-0.07909702735348483,-0.10583282770404204,-0.051779150358681275,selectivity<0,9.999000099990002e-05,-5.603666241233032,18,-1.2855692030981685
story-int,IT-IP,19,11,-0.08214686234929816,0.07429934666650441,0.017045439141599384,-0.04879175451387956,0.04746820946308147,0.01088995410949438,-0.0333551078354186,-0.05495502883298707,-0.01147394031763141,selectivity<0,0.0347965203479652,-2.9173425619993467,18,-0.6692842848129049
