family,condition,n,n_epochs,mean_r_raw,theta_z,se_group_mean_z,ci_lo_se,ci_hi_se,sign_flip_p,direction,mean_r_tanh
story-story,IP-IP,19,17,0.29919839516468266,0.3473035656236005,0.030115603513781702,0.28827698273658836,0.4063301485106126,9.999000099990002e-05,greater,0.3339820423430283
story-story,SP-SP,19,17,0.2097501209671894,0.23236307280518007,0.030977245230532666,0.17164767215333604,0.2930784734570241,9.999000099990002e-05,greater,0.22826949727681023
story-story,IT-IT,19,17,0.23725708663647244,0.27238195634938106,0.03021624676585341,0.21315811268830837,0.33160580001045376,9.999000099990002e-05,greater,0.26583985539582566
story-story,IP-IT,19,17,0.2674253425758985,0.30370144055778053,0.020575604307510254,0.26337325611506046,0.3440296250005006,9.999000099990002e-05,greater,0.29469627354360883
story-story,IT-IP,19,17,0.23592627701018903,0.27319380915653313,0.03435022479099061,0.20586736856619153,0.3405202497468747,9.999000099990002e-05,greater,0.26659417092806076
story-int,IP-IP,19,17,-0.22087262329144466,-0.2448773549992376,0.023510002323295004,-0.2909569595528958,-0.1987977504455794,9.999000099990002e-05,less,-0.24009729317001577
story-int,SP-SP,19,17,-0.18936794069508392,-0.2087284939141447,0.027120923935696956,-0.26188550482811074,-0.15557148300017865,9.999000099990002e-05,less,-0.20574913907107045
story-int,IT-IT,19,17,-0.15518461491892718,-0.1714200669730839,0.019756022867960594,-0.21014187179428667,-0.13269826215188113,0.00019998000199980003,less,-0.16976052007766773
story-int,IP-IT,19,17,-0.12486815952390301,-0.13916073282616057,0.014814642932566182,-0.16819743297399029,-0.11012403267833085,9.999000099990002e-05,less,-0.1382693218675012
story-int,IT-IP,19,17,-0.14594926878521833,-0.16312483999726698,0.028096027094301736,-0.21819305310209838,-0.10805662689243559,0.00019998000199980003,less,-0.16169317480064754
