task,subject,n_questions,n_correct,accuracy
carver,sub-026,17,14,0.8235294117647058
carver,sub-032,17,17,1.0
carver,sub-034,17,16,0.9411764705882353
carver,sub-036,17,16,0.9411764705882353
carver,sub-038,17,17,1.0
carver,sub-048,17,17,1.0
carver,sub-049,17,16,0.9411764705882353
carver,sub-057,17,11,0.6470588235294118
carver,sub-058,17,16,0.9411764705882353
carver,sub-059,17,16,0.9411764705882353
carver,sub-060,17,16,0.9411764705882353
carver,sub-061,17,16,0.9411764705882353
carver,sub-062,17,14,0.8235294117647058
carver,sub-075,17,16,0.9411764705882353
carver,sub-091,17,15,0.8823529411764706
carver,sub-092,17,17,1.0
carver,sub-093,17,14,0.8235294117647058
carver,sub-095,17,15,0.8823529411764706
carver,sub-101,17,17,1.0
ntf,sub-027,11,11,1.0
ntf,sub-037,11,11,1.0
ntf,sub-039,11,10,0.9090909090909091
ntf,sub-045,11,11,1.0
ntf,sub-055,11,9,0.8181818181818182
ntf,sub-063,11,11,1.0
ntf,sub-065,11,8,0.7272727272727273
ntf,sub-069,11,9,0.8181818181818182
ntf,sub-070,11,10,0.9090909090909091
ntf,sub-072,11,10,0.9090909090909091
ntf,sub-073,11,8,0.7272727272727273
ntf,sub-086,11,10,0.9090909090909091
ntf,sub-088,11,9,0.8181818181818182
ntf,sub-089,11,10,0.9090909090909091
ntf,sub-090,11,10,0.9090909090909091
ntf,sub-099,11,10,0.9090909090909091
ntf,sub-100,11,9,0.8181818181818182
ntf,sub-103,11,9,0.8181818181818182
